feature_set,feature
NQ_ONLY,nq_bar_ret
NQ_ONLY,nq_range
NQ_ONLY,nq_close_loc
NQ_ONLY,nq_ret1
NQ_ONLY,nq_ret2
NQ_ONLY,nq_ret5
NQ_ONLY,nq_ret15
NQ_ONLY,nq_ret30
NQ_ONLY,nq_ret60
NQ_ONLY,nq_rv5
NQ_ONLY,nq_rv15
NQ_ONLY,nq_rv60
NQ_ONLY,nq_rs15
NQ_ONLY,nq_rs60
NQ_ONLY,nq_rv5_over_60
NQ_ONLY,nq_rs15_over_60
NQ_ONLY,nq_rsi14
NQ_ONLY,nq_macd
NQ_ONLY,nq_macd_signal
NQ_ONLY,nq_macd_hist
NQ_ONLY,nq_bb_pctB
NQ_ONLY,nq_bb_width
NQ_ONLY,nq_vwap20_dist
NQ_ONLY,nq_ema20_dist
NQ_ONLY,nq_ema60_dist
NQ_ONLY,nq_ema20_60_spread
NQ_ONLY,nq_adx14
NQ_ONLY,nq_di_spread14
NQ_ONLY,nq_donchian20_pos
NQ_ONLY,nq_breakout20_up
NQ_ONLY,nq_breakout20_down
NQ_ONLY,nq_vol_rel15
NQ_ONLY,nq_vol_rel60
NQ_ONLY,asia_session
NQ_ONLY,london_session
NQ_ONLY,us_rth_session
NQ_ONLY,london_us_overlap
NQ_ONLY,us_last60
NQ_ONLY,us_last30
NQ_ONLY,minutes_to_us_close
NQ_ONLY,last_rth_known
NQ_ONLY,rth_gap_known
NQ_ONLY,opening30_known
NQ_ONLY,nq_rth_to_now
NQ_ONLY,nq_rth_vwap_dist
NQ_ONLY,nq_rth_position
NQ_ONLY,nq_last_rth_ret
NQ_ONLY,nq_last_rth_range
NQ_ONLY,nq_rth_gap
NQ_ONLY,nq_open30_ret
NQ_ONLY,nq_open30_green
NQ_ONLY,nq_open30_range
NQ_ONLY,nq_open30_vol_rel20
NQ_ONLY,nq_prevclose_to_1000
NQ_ONLY,tod_sin
NQ_ONLY,tod_cos
NQ_ONLY,dow_2
NQ_ONLY,dow_3
NQ_ONLY,dow_4
NQ_ONLY,dow_5
NQ_ONLY,dow_7
NQ_ONLY,season_spring
NQ_ONLY,season_summer
NQ_ONLY,season_autumn
NQ_ES,nq_bar_ret
NQ_ES,nq_range
NQ_ES,nq_close_loc
NQ_ES,nq_ret1
NQ_ES,nq_ret2
NQ_ES,nq_ret5
NQ_ES,nq_ret15
NQ_ES,nq_ret30
NQ_ES,nq_ret60
NQ_ES,nq_rv5
NQ_ES,nq_rv15
NQ_ES,nq_rv60
NQ_ES,nq_rs15
NQ_ES,nq_rs60
NQ_ES,nq_rv5_over_60
NQ_ES,nq_rs15_over_60
NQ_ES,nq_rsi14
NQ_ES,nq_macd
NQ_ES,nq_macd_signal
NQ_ES,nq_macd_hist
NQ_ES,nq_bb_pctB
NQ_ES,nq_bb_width
NQ_ES,nq_vwap20_dist
NQ_ES,nq_ema20_dist
NQ_ES,nq_ema60_dist
NQ_ES,nq_ema20_60_spread
NQ_ES,nq_adx14
NQ_ES,nq_di_spread14
NQ_ES,nq_donchian20_pos
NQ_ES,nq_breakout20_up
NQ_ES,nq_breakout20_down
NQ_ES,nq_vol_rel15
NQ_ES,nq_vol_rel60
NQ_ES,asia_session
NQ_ES,london_session
NQ_ES,us_rth_session
NQ_ES,london_us_overlap
NQ_ES,us_last60
NQ_ES,us_last30
NQ_ES,minutes_to_us_close
NQ_ES,last_rth_known
NQ_ES,rth_gap_known
NQ_ES,opening30_known
NQ_ES,nq_rth_to_now
NQ_ES,nq_rth_vwap_dist
NQ_ES,nq_rth_position
NQ_ES,nq_last_rth_ret
NQ_ES,nq_last_rth_range
NQ_ES,nq_rth_gap
NQ_ES,nq_open30_ret
NQ_ES,nq_open30_green
NQ_ES,nq_open30_range
NQ_ES,nq_open30_vol_rel20
NQ_ES,nq_prevclose_to_1000
NQ_ES,tod_sin
NQ_ES,tod_cos
NQ_ES,dow_2
NQ_ES,dow_3
NQ_ES,dow_4
NQ_ES,dow_5
NQ_ES,dow_7
NQ_ES,season_spring
NQ_ES,season_summer
NQ_ES,season_autumn
NQ_ES,es_bar_ret
NQ_ES,es_range
NQ_ES,es_close_loc
NQ_ES,es_ret1
NQ_ES,es_ret2
NQ_ES,es_ret5
NQ_ES,es_ret15
NQ_ES,es_ret30
NQ_ES,es_ret60
NQ_ES,es_rv5
NQ_ES,es_rv15
NQ_ES,es_rv60
NQ_ES,es_rs15
NQ_ES,es_rs60
NQ_ES,es_rv5_over_60
NQ_ES,es_rs15_over_60
NQ_ES,es_rsi14
NQ_ES,es_macd
NQ_ES,es_macd_signal
NQ_ES,es_macd_hist
NQ_ES,es_bb_pctB
NQ_ES,es_bb_width
NQ_ES,es_vwap20_dist
NQ_ES,es_ema20_dist
