position,feature
1,nq_bar_ret
2,nq_range
3,nq_close_loc
4,nq_ret1
5,nq_ret2
6,nq_ret5
7,nq_ret15
8,nq_ret30
9,nq_ret60
10,nq_rv5
11,nq_rv15
12,nq_rv60
13,nq_rs15
14,nq_rs60
15,nq_rv5_over_60
16,nq_rs15_over_60
17,tod_sin
18,tod_cos
19,dow_2
20,dow_3
21,dow_4
22,dow_5
23,dow_7
24,season_spring
25,season_summer
26,season_autumn
27,nq_rsi14
28,nq_macd
29,nq_macd_signal
30,nq_macd_hist
31,nq_bb_pctB
32,nq_bb_width
33,nq_vwap20_dist
34,nq_ema20_dist
35,nq_ema60_dist
36,nq_ema20_60_spread
37,nq_adx14
38,nq_di_spread14
39,nq_donchian20_pos
40,nq_breakout20_up
41,nq_breakout20_down
42,nq_vol_rel15
43,nq_vol_rel60
44,asia_session
45,london_session
46,us_rth_session
47,london_us_overlap
48,us_last60
49,us_last30
50,minutes_to_us_close
51,last_rth_known
52,rth_gap_known
53,opening30_known
54,nq_rth_to_now
55,nq_rth_vwap_dist
56,nq_rth_position
57,nq_last_rth_ret
58,nq_last_rth_range
59,nq_rth_gap
60,nq_open30_ret
61,nq_open30_green
62,nq_open30_range
63,nq_open30_vol_rel20
64,nq_prevclose_to_1000
65,es_bar_ret
66,es_range
67,es_close_loc
68,es_ret1
69,es_ret2
70,es_ret5
71,es_ret15
72,es_ret30
73,es_ret60
74,es_rv5
75,es_rv15
76,es_rv60
77,es_rs15
78,es_rs60
79,es_rv5_over_60
80,es_rs15_over_60
81,es_rsi14
82,es_macd
83,es_macd_signal
84,es_macd_hist
85,es_bb_pctB
86,es_bb_width
87,es_vwap20_dist
88,es_ema20_dist
89,es_ema60_dist
90,es_ema20_60_spread
91,es_adx14
92,es_di_spread14
93,es_donchian20_pos
94,es_breakout20_up
95,es_breakout20_down
96,es_vol_rel15
97,es_vol_rel60
98,es_rth_to_now
99,es_rth_vwap_dist
100,es_rth_position
101,es_last_rth_ret
102,es_last_rth_range
103,es_rth_gap
104,es_open30_ret
105,es_open30_green
106,es_open30_range
107,es_open30_vol_rel20
108,es_prevclose_to_1000
109,nq_minus_es_1
110,nq_minus_es_5
111,nq_minus_es_15
112,nq_minus_es_60
113,disagree_1
114,disagree_5
115,disagree_15
116,nq_minus_es_gap
117,nq_minus_es_open30
118,open30_disagree
