Feature,Gain,Cover,Frequency
nq_close_loc,0.09800748426322,0.0976170931387004,0.0777777777777778
nq_ema20_dist,0.0700128843288892,0.0166973870347591,0.0111111111111111
nq_rsi14,0.0684511173518228,0.0484559365363773,0.0377777777777778
nq_ret5,0.0563320743300238,0.0454664932518657,0.0355555555555556
nq_ret60,0.0345321059128373,0.0293860950759959,0.0244444444444444
tod_cos,0.032134626851061,0.0120182789991126,0.0288888888888889
nq_di_spread14,0.0276383989489515,0.0198562959170142,0.0177777777777778
es_bb_pctB,0.0256184792560318,0.0294765569025417,0.0266666666666667
nq_rth_to_now,0.0251308784546317,0.0148194759518891,0.0244444444444444
es_rth_position,0.024878674349126,0.0190161541136861,0.0222222222222222
es_last_rth_ret,0.0245178314943518,0.0358448919271742,0.0288888888888889
nq_donchian20_pos,0.0238455433731301,0.0280872719953993,0.0244444444444444
nq_ema60_dist,0.0230106410849502,0.0182190949919617,0.0155555555555556
es_rsi14,0.0218665783133893,0.0249358665531244,0.02
nq_ema20_60_spread,0.0209420860866619,0.0280226209202766,0.0244444444444444
nq_rth_position,0.0197993185763875,0.0136850866636608,0.0155555555555556
nq_minus_es_5,0.0192987114511289,0.040996801528731,0.0288888888888889
nq_prevclose_to_1000,0.0190438796385158,0.0167640326329313,0.02
nq_minus_es_open30,0.0188527139464547,0.0294614909984714,0.0266666666666667
nq_minus_es_gap,0.0179708455253455,0.0285462311778522,0.0244444444444444
es_ret60,0.0161287773953148,0.0250655818721396,0.0177777777777778
nq_rs15_over_60,0.0141141027875724,0.0188171617049291,0.0222222222222222
nq_last_rth_ret,0.0127886259681331,0.0219386124113932,0.02
nq_minus_es_15,0.0115643840439742,0.0156406820829368,0.0177777777777778
nq_vol_rel60,0.0103072493003049,0.0198725238582496,0.0155555555555556
tod_sin,0.00995012283317711,0.0169428228103813,0.0155555555555556
nq_open30_range,0.00952642778599593,0.0117544941033028,0.0133333333333333
nq_rv5,0.00840035509882545,0.00450049339344016,0.0133333333333333
es_open30_range,0.0082852813592744,0.00605837114078328,0.0111111111111111
minutes_to_us_close,0.00808682853134748,0.00268517676436097,0.00888888888888889
es_rs15_over_60,0.00802625389168093,0.00896308654509902,0.0111111111111111
nq_ret30,0.00786514982998648,0.0182586140929259,0.0133333333333333
es_ema20_60_spread,0.00771803335070083,0.00170850804453483,0.00666666666666667
es_rth_to_now,0.00769623391732778,0.00797556707268107,0.00888888888888889
es_rth_vwap_dist,0.00767914039338129,0.0137702781290538,0.0111111111111111
nq_rth_vwap_dist,0.00752461437913703,0.0015950418785446,0.00666666666666667
es_ret5,0.00726043323834693,0.0122090928796316,0.00888888888888889
es_donchian20_pos,0.00725576812861799,0.00973883919279242,0.0111111111111111
nq_adx14,0.00711858818328395,0.00510294695041434,0.0111111111111111
es_rv15,0.00669527066241872,0.00691198581204698,0.00888888888888889
nq_ret1,0.00658263612504301,0.0134938067386069,0.0111111111111111
es_last_rth_range,0.00656770188635908,0.00422229923678346,0.00666666666666667
nq_rth_gap,0.00582773533001841,0.0058149335772174,0.00888888888888889
es_bb_width,0.00563122332821364,0.00779169590309758,0.00888888888888889
nq_bb_pctB,0.00535456161156728,0.00480269284007283,0.00666666666666667
nq_rv15,0.00534277204831117,0.0118548621429723,0.00888888888888889
es_rs15,0.00528994831828837,0.00362930736760469,0.00666666666666667
nq_macd,0.00478842397451117,0.0032541479727018,0.00666666666666667
es_macd_hist,0.00471113385366593,0.00355139984628296,0.00666666666666667
es_ret2,0.00470341341468243,0.000416203900209165,0.00444444444444444
nq_range,0.00470296823317171,0.0113075905953117,0.00888888888888889
us_rth_session,0.00427975865074701,0.00087240163045452,0.00222222222222222
es_rv5_over_60,0.00402891642881877,0.00938464780553986,0.00666666666666667
es_open30_vol_rel20,0.00392868293371157,0.000481376278115636,0.00444444444444444
nq_vwap20_dist,0.00373729878251,0.00948036646688012,0.00666666666666667
nq_vol_rel15,0.00369060327035985,0.00681984241320138,0.00666666666666667
es_rth_gap,0.00366955501622966,0.00346705746730533,0.00666666666666667
nq_macd_signal,0.00364666173779894,0.00618827521398349,0.00666666666666667
es_range,0.0035915493513205,0.000746758437047227,0.00444444444444444
es_vol_rel15,0.00343882213893453,0.00386611640065382,0.00666666666666667
nq_ret2,0.00300538267789686,0.00335848046509111,0.00444444444444444
es_rs60,0.00299756256370272,0.00266854118786604,0.00444444444444444
nq_minus_es_1,0.00296237979660711,0.00139228007330629,0.00444444444444444
us_last30,0.00291036792892173,0.00248012270247679,0.00444444444444444
es_bar_ret,0.00288871465142748,0.00405978342057199,0.00444444444444444
es_macd,0.00276796639697034,0.00130656107993045,0.00222222222222222
nq_rv60,0.00260305066225978,0.00403091940112671,0.00444444444444444
nq_open30_ret,0.00246408121120109,0.00101598769216745,0.00222222222222222
es_vol_rel60,0.00232968029337192,0.00325004518222427,0.00444444444444444
nq_rs15,0.00230488182399799,0.00168814672480654,0.00222222222222222
es_ret30,0.00220318573719894,0.00324645885270899,0.00222222222222222
es_adx14,0.00185692102754533,2.64708867143279e-05,0.00222222222222222
nq_open30_vol_rel20,0.00182656359937089,0.000103094273389584,0.00222222222222222
es_rv5,0.00171660402444853,0.000258501027511906,0.00222222222222222
nq_bb_width,0.00163952474507864,0.0019971620727634,0.00222222222222222
dow_5,0.00145995727085628,0.00333703903489205,0.00222222222222222
es_ema60_dist,0.00138190486705301,0.00184829081701575,0.00222222222222222
es_di_spread14,0.00130202306161824,0.00332932747344076,0.00222222222222222
es_ret15,0.0012768009725991,0.0033177482957001,0.00222222222222222
nq_ret15,0.00126179520533137,0.00313294841863627,0.00222222222222222
nq_rs60,0.0011730450175222,3.86139133043614e-05,0.00222222222222222
nq_last_rth_range,0.00115540005209303,0.00285833843957417,0.00222222222222222
nq_macd_hist,0.00113811634474593,0.00290005188479346,0.00222222222222222
es_ret1,0.00109945101358748,3.94150402286387e-05,0.00222222222222222
nq_bar_ret,0.00107890784938476,0.00333478228493734,0.00222222222222222
es_vwap20_dist,0.00103176560636829,0.00333057804677079,0.00222222222222222
es_open30_ret,0.000773084548865673,0.00332149202284197,0.00222222222222222
