Feature,Gain,Cover,Frequency
nq_close_loc,0.328465248549763,0.190101459460782,0.144444444444444
nq_last_rth_ret,0.103050735891131,0.127584281486132,0.106666666666667
nq_ret2,0.0784808521185683,0.054859734597142,0.04
nq_donchian20_pos,0.058057663004275,0.0501183186883891,0.0422222222222222
tod_cos,0.0473384850435544,0.0448791855036459,0.0644444444444445
nq_rth_position,0.0440013664253221,0.0727081740486377,0.0666666666666667
minutes_to_us_close,0.0313829758126938,0.0394900131362348,0.04
nq_macd_hist,0.0301089163578479,0.0339017408043383,0.0311111111111111
nq_di_spread14,0.0283392286006867,0.0246373842321892,0.0311111111111111
nq_bar_ret,0.0198054708809784,0.0103197577188423,0.0155555555555556
nq_rsi14,0.0156681307813231,0.0371960054871783,0.0311111111111111
tod_sin,0.0143722132109282,0.0247686004223756,0.0244444444444444
nq_ret5,0.0138802068729248,0.0197937648465213,0.0177777777777778
nq_vol_rel60,0.0127343181202986,0.0187023676764292,0.0244444444444444
nq_rth_vwap_dist,0.0123460207451093,0.0280833851292945,0.0222222222222222
nq_rs60,0.0108050443970879,0.00688526575865773,0.0133333333333333
nq_rs15_over_60,0.0107559052334602,0.0278433505535256,0.0244444444444444
nq_vwap20_dist,0.0107095337682104,0.0135348135773924,0.0177777777777778
nq_bb_pctB,0.0104900251680099,0.0169775434209897,0.0177777777777778
nq_rv5_over_60,0.0100232947795944,0.0121933577972584,0.02
nq_ret15,0.00915122637487829,0.0182673865959057,0.0177777777777778
nq_last_rth_range,0.00905379229961912,0.0101967342248367,0.0155555555555556
nq_ret1,0.00746638979484079,0.0176374288858062,0.0177777777777778
nq_rs15,0.00716162175697108,0.00298141904169543,0.00888888888888889
nq_rth_to_now,0.00715366375754424,0.0154565361749638,0.0155555555555556
nq_rth_gap,0.00618247007751654,0.00189019524622567,0.00888888888888889
nq_range,0.00550383937080347,0.00772403241209321,0.0111111111111111
nq_macd,0.00542737486667945,0.00562670846581711,0.0111111111111111
nq_bb_width,0.00521256434396467,0.00736127747333258,0.00888888888888889
nq_open30_vol_rel20,0.00498824751296156,0.00970762009571678,0.0111111111111111
nq_prevclose_to_1000,0.00428950843377361,0.00368968434184889,0.00444444444444444
nq_rv60,0.00401833138032032,0.00324181642763236,0.00666666666666667
nq_ema20_dist,0.00355095008594062,0.00628774871544847,0.00444444444444444
nq_adx14,0.00349958705779403,0.0100675320044714,0.00888888888888889
nq_breakout20_up,0.0032268751757803,0.0021125024629861,0.00222222222222222
asia_session,0.00322064419549148,0.00124652729065223,0.00222222222222222
nq_ret60,0.0026640649046322,0.00400271543892428,0.00666666666666667
nq_rv5,0.00254789841048214,0.00663557806047758,0.00666666666666667
nq_ema60_dist,0.00210813613458561,0.000267727837559315,0.00444444444444444
nq_open30_range,0.00199891449895191,0.000392592279788923,0.00444444444444444
nq_rv15,0.00181934225343975,5.95156049568337e-05,0.00444444444444444
nq_ema20_60_spread,0.00171126875430259,0.00365113523984856,0.00444444444444444
us_last60,0.00162731960189371,0.000649493382108871,0.00222222222222222
nq_open30_ret,0.00142531536516008,0.00336671079855809,0.00444444444444444
nq_vol_rel15,0.0013790502980005,2.72699207760874e-05,0.00444444444444444
nq_macd_signal,0.00137042001670358,0.000364705285586802,0.00222222222222222
nq_ret30,0.000818984230991215,0.00247059825295923,0.00222222222222222
nq_open30_green,0.000606563284210224,3.83036930662274e-05,0.00222222222222222
