feature,mean_abs_prediction_change,logloss_increase
nq_vwap20_dist,0.00246180186092142,0.000300390583865551
nq_rsi14,0.00556902132713554,0.000264453648041951
nq_di_spread14,0.00401628467105441,0.000202900928026883
nq_ema60_dist,0.00417521322437576,0.000155339832016321
nq_ema20_60_spread,0.00282456347668347,0.000126356713470166
minutes_to_us_close,0.00113127443736903,0.000124270892720491
nq_vol_rel60,0.00128435102785723,0.000121067084271398
nq_donchian20_pos,0.00314924213026361,9.99290584058343e-05
nq_ret2,0.00220120706436509,9.91336325694148e-05
nq_macd_hist,0.00113557295704878,9.2832416819455e-05
nq_ret15,0.00167248917516312,8.56462347920139e-05
nq_rv5,0.000976439611372359,6.53488591622065e-05
london_us_overlap,0.000259685293501639,5.746796917383e-05
nq_ret1,0.00154272747197205,5.34115961989823e-05
nq_prevclose_to_1000,0.00134384266922703,5.21205416378345e-05
nq_range,0.00113202104465381,5.07507984762734e-05
nq_rs15_over_60,0.00111444508242296,4.37857179699241e-05
nq_rv15,0.000997163332469081,3.64349835653144e-05
nq_adx14,0.00115568138424131,3.50941169494634e-05
dow_5,0.000204160428330353,2.69079850802045e-05
nq_rv5_over_60,0.000893301336286497,2.56032105537818e-05
nq_breakout20_down,0.000173397207911783,1.97664420386046e-05
us_rth_session,0.000561657820815133,1.91244405735036e-05
nq_bb_width,0.000922138209595869,1.55395892174059e-05
nq_bar_ret,0.00127818751264071,1.53516142216148e-05
nq_rs60,0.00122600650982757,1.09540104401562e-05
nq_breakout20_up,9.55982981562878e-05,9.86887769560685e-06
dow_7,4.2625604266933e-05,7.85554983162573e-06
nq_open30_range,0.000690078790479091,7.37241968351565e-06
season_spring,0.000122399281622387,4.30638387027837e-06
london_session,0.000267309167095908,3.97894792814046e-06
nq_ret5,0.00379496837245179,3.44988336864471e-06
dow_3,9.65402349727123e-05,3.13669988871723e-06
opening30_known,0.00010552546631552,4.0336865847479e-08
last_rth_known,0,0
dow_2,8.25040740522711e-05,-3.76942135060787e-07
us_last30,3.88146837266475e-05,-2.00903044689227e-06
nq_rth_vwap_dist,0.00127832172801118,-2.22472283661901e-06
nq_open30_vol_rel20,0.000817707749105799,-3.15403450190654e-06
dow_4,0.000121583127661274,-3.20135119180609e-06
season_summer,0.0001044230232489,-3.92429051399024e-06
rth_gap_known,0.000105134761534811,-7.94465160169899e-06
us_last60,5.92741887022387e-05,-8.88199635917797e-06
nq_rth_position,0.00146218373212051,-9.7075883799258e-06
nq_open30_green,0.000222621610346726,-1.31266486652626e-05
season_autumn,8.49607007722793e-05,-1.32681988763705e-05
nq_last_rth_ret,0.00150649325951556,-1.84149894280061e-05
nq_ret60,0.00330860393763487,-2.16210598665834e-05
nq_last_rth_range,0.000893165843349985,-2.22049585103523e-05
nq_macd_signal,0.00145901896273457,-2.76673242930459e-05
tod_sin,0.00112685740647018,-2.86222973303607e-05
asia_session,0.000339782249640221,-2.87057182417616e-05
nq_open30_ret,0.000767123376350321,-3.02774817474427e-05
nq_rv60,0.00113280126060271,-3.28426996292208e-05
nq_vol_rel15,0.000957939363230728,-4.34999274108172e-05
nq_ret30,0.00157500125610442,-4.5139853769971e-05
nq_rth_to_now,0.00131488505574243,-4.64722911501792e-05
tod_cos,0.0028213281597055,-4.76345495060704e-05
nq_rs15,0.00138888288268399,-6.65187763511099e-05
nq_bb_pctB,0.0033929240226376,-6.73224598580768e-05
nq_rth_gap,0.00107489262760278,-6.94215594150283e-05
nq_macd,0.00169179411097847,-9.28632685008868e-05
nq_ema20_dist,0.00413166274235543,-0.000227099157175337
nq_close_loc,0.00586300893724779,-0.000256572941083499
