v5_rank,candidate_id,horizon,feature_set,model_id,target_coverage,selected_n,overall_wr,wr_block_lower,wr_block_upper,overall_baseline_wr,overall_edge,edge_block_lower,edge_block_upper,full_years_over_50,min_full_year_wr,avg_active_weeks_full,min_active_weeks_full,max_top5_day_share_full,long_n,long_wr,short_n,short_wr,statistically_robust,n_2026,wr_2026,baseline_2026,edge_2026,weeks_2026,days_2026,top5_share_2026,long_n_2026,long_wr_2026,short_n_2026,short_wr_2026
1,7__NQ_ES__xgb_d2__0.0100,7,NQ_ES,xgb_d2,0.01,701,0.584878744650499,0.550066978281936,0.62103941616915,0.526390870185449,0.0584878744650499,0.0148610446247847,0.100452359936821,3,0.537735849056604,51.0,49,0.0990566037735849,479,0.58455114822547,222,0.585585585585586,True,42,0.5,0.452380952380952,0.0476190476190476,10,30,0.333333333333333,40,0.475,2,1.0
2,7__NQ_ES__xgb_d2__0.0500,7,NQ_ES,xgb_d2,0.05,3647,0.564299424184261,0.54806357010971,0.580383266049664,0.522072936660269,0.0422264875239923,0.0271686205839234,0.059333758175653,3,0.565094339622642,52.6666666666667,52,0.0512367491166078,2760,0.560144927536232,887,0.577226606538895,True,222,0.513513513513514,0.504504504504505,0.009009009009009,11,58,0.193693693693694,200,0.51,22,0.545454545454545
3,7__NQ_ONLY__xgb_d2__0.0500,7,NQ_ONLY,xgb_d2,0.05,3818,0.556574122577266,0.543288375791103,0.573264030655747,0.519119958093243,0.037454164484023,0.0209868051537237,0.0529280440744772,3,0.558310376492195,52.6666666666667,52,0.0485347985347985,2861,0.552953512757777,957,0.567398119122257,True,208,0.504807692307692,0.528846153846154,-0.0240384615384615,11,60,0.192307692307692,185,0.518918918918919,23,0.391304347826087
4,10__NQ_ES__xgb_d4__0.0050,10,NQ_ES,xgb_d4,0.005,326,0.592024539877301,0.541656353135314,0.645208728652751,0.484662576687117,0.107361963190184,0.0358155808494619,0.176829758450318,3,0.548387096774194,40.0,35,0.209677419354839,187,0.566844919786096,139,0.62589928057554,True,17,0.764705882352941,0.823529411764706,-0.0588235294117647,9,13,0.529411764705882,14,0.857142857142857,3,0.333333333333333
5,7__NQ_ONLY__ranger__0.0200,7,NQ_ONLY,ranger,0.02,1593,0.565599497802888,0.541369761862631,0.589598674588833,0.522912743251726,0.0426867545511613,0.0165622205634219,0.0676043888457996,3,0.549473684210526,52.6666666666667,52,0.0610526315789474,1196,0.561036789297659,397,0.579345088161209,True,77,0.571428571428571,0.51948051948052,0.051948051948052,11,46,0.246753246753247,65,0.553846153846154,12,0.666666666666667
6,7__NQ_ONLY__xgb_d3__0.1000,7,NQ_ONLY,xgb_d3,0.1,7127,0.552967588045461,0.540940120830063,0.564229249011858,0.510874140592114,0.0420934474533464,0.0286424517880195,0.0544225232595202,3,0.543538038496792,52.6666666666667,52,0.0411184210526316,5000,0.5484,2127,0.563704748472026,True,440,0.5,0.520454545454546,-0.0204545454545455,11,62,0.170454545454545,337,0.513353115727003,103,0.456310679611651
7,7__NQ_ONLY__ranger__0.0500,7,NQ_ONLY,ranger,0.05,3904,0.55891393442623,0.540717291400825,0.574234176852989,0.525102459016393,0.0338114754098361,0.0175970589256873,0.049503269996984,3,0.554498269896194,52.6666666666667,52,0.0493079584775087,2990,0.557190635451505,914,0.564551422319475,True,202,0.50990099009901,0.51980198019802,-0.0099009900990099,11,58,0.198019801980198,166,0.518072289156627,36,0.472222222222222
8,7__NQ_ONLY__logit__0.0200,7,NQ_ONLY,logit,0.02,1287,0.564879564879565,0.540473418484913,0.591751005388253,0.535353535353535,0.0295260295260295,0.0021664884135472,0.0614515054927055,3,0.550403225806452,52.3333333333333,51,0.125842696629213,856,0.578271028037383,431,0.538283062645012,True,55,0.490909090909091,0.545454545454545,-0.0545454545454545,11,30,0.363636363636364,52,0.519230769230769,3,0.0
9,7__NQ_ONLY__xgb_d4__0.1000,7,NQ_ONLY,xgb_d4,0.1,7016,0.550741163055872,0.539913241194528,0.562206854074441,0.502993158494869,0.0477480045610034,0.0355667802766789,0.0593799207610721,3,0.536091549295775,52.6666666666667,52,0.0413732394366197,4813,0.542073550799917,2203,0.569677712210622,True,407,0.533169533169533,0.542997542997543,-0.0098280098280098,11,62,0.164619164619165,295,0.552542372881356,112,0.482142857142857
10,5__NQ_ONLY__logit__0.0500,5,NQ_ONLY,logit,0.05,3212,0.558219178082192,0.539893770874608,0.57723680849511,0.522104607721046,0.0361145703611457,0.0150848815382967,0.056183091979712,3,0.541176470588235,52.6666666666667,52,0.069683257918552,2171,0.561953017042837,1041,0.550432276657061,True,197,0.568527918781726,0.598984771573604,-0.0304568527918782,11,49,0.187817258883249,175,0.594285714285714,22,0.363636363636364
11,7__NQ_ES__xgb_d3__0.1000,7,NQ_ES,xgb_d3,0.1,7264,0.550247797356828,0.539236820346766,0.56217557055698,0.516244493392071,0.0340033039647577,0.02287166121146,0.0462429991801693,3,0.542538354253836,52.6666666666667,52,0.0398924249215598,5107,0.550616800469943,2157,0.549374130737135,True,458,0.526200873362445,0.528384279475983,-0.0021834061135371,11,62,0.189956331877729,353,0.535410764872521,105,0.495238095238095
12,7__NQ_ES__ranger__0.1000,7,NQ_ES,ranger,0.1,7220,0.551662049861496,0.539224743951484,0.562518014965145,0.526038781163435,0.0256232686980609,0.0158965649579276,0.0363312409239914,3,0.551823023351086,52.6666666666667,52,0.0401262398557259,5664,0.551024011299435,1556,0.553984575835476,True,414,0.536231884057971,0.550724637681159,-0.0144927536231884,11,62,0.164251207729469,342,0.552631578947369,72,0.458333333333333
13,7__NQ_ES__xgb_d3__0.0500,7,NQ_ES,xgb_d3,0.05,3767,0.556410937085214,0.53897629135018,0.572060116739288,0.508893018316963,0.0475179187682506,0.0308531375153597,0.0638696637534551,3,0.54625550660793,52.6666666666667,52,0.051498127340824,2612,0.550918836140888,1155,0.568831168831169,True,227,0.519823788546256,0.519823788546256,0.0,11,61,0.202643171806167,181,0.524861878453039,46,0.5
14,7__NQ_ES__xgb_d2__0.1000,7,NQ_ES,xgb_d2,0.1,7293,0.549568078979844,0.538523101400303,0.561427780852241,0.523378582202112,0.0261894967777321,0.0154532582181402,0.0363627159727154,3,0.546846846846847,52.6666666666667,52,0.0394308943089431,5559,0.549919050188883,1734,0.548442906574394,True,444,0.5,0.529279279279279,-0.0292792792792793,11,62,0.168918918918919,372,0.518817204301075,72,0.402777777777778
15,7__NQ_ONLY__logit__0.0500,7,NQ_ONLY,logit,0.05,3289,0.55487990270599,0.538370795591799,0.573625998485847,0.524475524475525,0.0304043782304652,0.0114159931265589,0.0508486783567352,3,0.536992840095465,52.6666666666667,52,0.0847255369928401,2272,0.560299295774648,1017,0.542772861356932,True,182,0.565934065934066,0.593406593406593,-0.0274725274725275,11,50,0.203296703296703,157,0.592356687898089,25,0.4
16,7__NQ_ONLY__ranger__0.1000,7,NQ_ONLY,ranger,0.1,7457,0.548075633632828,0.537864482389867,0.559989522469134,0.522193911760762,0.0258817218720665,0.015406947668967,0.0368284176418664,3,0.54046881910659,52.6666666666667,52,0.0393366756652526,5743,0.54797144349643,1714,0.548424737456243,True,434,0.516129032258065,0.532258064516129,-0.0161290322580645,11,62,0.165898617511521,345,0.530434782608696,89,0.460674157303371
17,7__NQ_ONLY__xgb_d3__0.0500,7,NQ_ONLY,xgb_d3,0.05,3782,0.554204124801692,0.537826059056654,0.570094272474142,0.502644103648863,0.0515600211528292,0.0334358002920788,0.0689034248053995,3,0.542709232096635,52.6666666666667,52,0.0457290767903365,2581,0.544750096861682,1201,0.574521232306411,True,215,0.47906976744186,0.516279069767442,-0.0372093023255814,11,58,0.195348837209302,171,0.497076023391813,44,0.409090909090909
18,7__NQ_ES__logit__0.1000,7,NQ_ES,logit,0.1,6741,0.549770063788755,0.537803824043828,0.563579195223611,0.520100875241062,0.0296691885476932,0.0162576937934231,0.0433971988563387,3,0.543906333155934,52.6666666666667,52,0.0661609776654024,4502,0.555308751665926,2239,0.538633318445735,True,368,0.510869565217391,0.557065217391304,-0.046195652173913,11,55,0.184782608695652,280,0.546428571428571,88,0.397727272727273
19,1__NQ_ONLY__xgb_d2__0.1000,1,NQ_ONLY,xgb_d2,0.1,7048,0.548950056753689,0.537644294745327,0.560158362691779,0.484392735527809,0.0645573212258797,0.0491852337415939,0.0784723993459988,3,0.538046146293569,52.6666666666667,52,0.0381991814461119,4303,0.537996746455961,2745,0.566120218579235,True,464,0.545258620689655,0.504310344827586,0.040948275862069,11,59,0.148706896551724,327,0.53822629969419,137,0.562043795620438
20,5__NQ_ONLY__ranger__0.0500,5,NQ_ONLY,ranger,0.05,3669,0.552739165985282,0.537578300700379,0.568820687686342,0.518124829653857,0.0346143363314255,0.0183124738590947,0.0514350978922194,3,0.519793459552496,52.6666666666667,52,0.0475812846946868,2779,0.549478229578985,890,0.562921348314607,True,190,0.505263157894737,0.531578947368421,-0.0263157894736842,11,54,0.194736842105263,155,0.52258064516129,35,0.428571428571429
21,7__NQ_ES__xgb_d2__0.0200,7,NQ_ES,xgb_d2,0.02,1440,0.5625,0.537491061241907,0.586501290616459,0.514583333333333,0.0479166666666667,0.0237444502097771,0.0733547219099877,3,0.552106430155211,52.6666666666667,52,0.0709534368070954,1056,0.554924242424242,384,0.583333333333333,True,81,0.469135802469136,0.444444444444444,0.0246913580246914,10,41,0.283950617283951,77,0.454545454545455,4,0.75
22,5__NQ_ES__logit__0.1000,5,NQ_ES,logit,0.1,6552,0.5497557997558,0.537394837657697,0.563743421265747,0.518467643467644,0.0312881562881563,0.0168680004772934,0.0444765618638794,3,0.542612419700214,52.6666666666667,52,0.0539614561027837,4501,0.552543879137969,2051,0.543637250121892,True,413,0.564164648910412,0.581113801452784,-0.0169491525423729,11,54,0.174334140435835,342,0.587719298245614,71,0.450704225352113
23,5__NQ_ES__ranger__0.1000,5,NQ_ES,ranger,0.1,7334,0.549222797927461,0.536995177109922,0.5613051372417,0.523043359694573,0.0261794382328879,0.0154375945309645,0.0376952471034549,3,0.533450704225352,52.6666666666667,52,0.0404694455685957,5826,0.547202197047717,1508,0.557029177718833,True,447,0.561521252796421,0.54586129753915,0.0156599552572707,11,62,0.1834451901566,380,0.563157894736842,67,0.552238805970149
24,5__NQ_ES__xgb_d5__0.0200,5,NQ_ES,xgb_d5,0.02,1323,0.562358276643991,0.536910404167202,0.586967259151579,0.510959939531368,0.0513983371126228,0.0210510534206581,0.0797642524906502,3,0.543973941368078,52.3333333333333,51,0.107491856677524,846,0.560283687943262,477,0.566037735849057,True,82,0.573170731707317,0.609756097560976,-0.0365853658536585,11,40,0.268292682926829,55,0.636363636363636,27,0.444444444444444
25,60__NQ_ONLY__ranger__0.2000,60,NQ_ONLY,ranger,0.2,13150,0.548669201520913,0.536868380736922,0.561607489660509,0.54638783269962,0.0022813688212927,0.00015167094888,0.0046401348864131,3,0.550354609929078,52.6666666666667,52,0.0442973523421589,12970,0.548188126445644,180,0.583333333333333,True,872,0.495412844036697,0.498853211009174,-0.003440366972477,11,56,0.186926605504587,859,0.49708963911525,13,0.384615384615385
