DateTime,Time,Currency,Importance,Event,Actual,Forecast,Previous
2015/04/02 04:00:00,04:00,EUR,Low,Italian Public Deficit (Q4),2.3%,,3.0%
2015/04/02 04:00:00,04:00,BRL,Medium,IPC-Fipe Inflation Index (MoM) (Mar),0.70%,0.69%,1.22%
2015/04/02 05:00:00,05:00,EUR,Low,French 10-Year OAT Auction,0.46%,,0.67%
2015/04/02 07:30:00,07:30,USD,Low,Challenger Job Cuts (Mar),36.6K,,50.6K
2015/04/02 07:30:00,07:30,USD,Low,Challenger Job Cuts (YoY),6.4%,,20.9%
2015/04/02 07:30:00,07:30,EUR,Medium,ECB Publishes Account of Monetary Policy Meeting,,,
2015/04/02 08:00:00,08:00,RUB,Low,Central Bank reserves (USD),360.8B,,352.9B
2015/04/02 08:30:00,08:30,USD,Medium,Continuing Jobless Claims,"2,325K","2,405K","2,413K"
2015/04/02 08:30:00,08:30,USD,High,Initial Jobless Claims,268K,285K,288K
2015/04/02 08:30:00,08:30,USD,Low,Jobless Claims 4-Week Avg.,285.50K,,300.25K
2015/04/02 08:30:00,08:30,USD,Medium,Trade Balance (Feb),-35.44B,-41.20B,-42.68B
2015/04/02 08:30:00,08:30,CAD,Low,Exports (Feb),43.52B,,43.35B
2015/04/02 08:30:00,08:30,CAD,Low,Imports (Feb),44.51B,,44.82B
2015/04/02 08:30:00,08:30,CAD,Medium,Trade Balance (Feb),-0.98B,-1.80B,-1.48B
2015/04/02 08:40:00,08:40,USD,High,Fed Chair Yellen Speaks,,,
2015/04/02 09:00:00,09:00,SGD,Low,S&P Global Manufacturing PMI (Mar),49.6,49.6,49.7
2015/04/02 09:45:00,09:45,USD,Low,Bloomberg Consumer Confidence,46.2,,45.5
2015/04/02 09:45:00,09:45,USD,Low,ISM-New York Index (Mar),677.6,,677.6
2015/04/02 10:00:00,10:00,USD,Medium,Factory Orders (MoM) (Feb),0.2%,-0.5%,-0.7%
2015/04/02 10:00:00,10:00,USD,Low,Factory orders ex transportation (MoM) (Feb),0.8%,,-2.3%
2015/04/02 10:30:00,10:30,USD,Low,Natural Gas Storage,-18B,-10B,12B
2015/04/02 13:00:00,13:00,USD,Medium,U.S. Baker Hughes Oil Rig Count,802,,813
2015/04/02 17:00:00,17:00,KRW,Low,FX Reserves - USD (Mar),362.75B,,362.37B
2015/04/02 21:30:00,21:30,JPY,Low,Average Cash Earnings (YoY),0.5%,0.7%,0.6%
2015/04/03 01:30:00,01:30,JPY,Low,Overtime Pay (YoY) (Feb),0.40%,,2.60%
