branch,alpha,validation_year,test_year,selected_model,selected_horizon_min,selected_tau,validation_n,validation_win_rate,validation_score,test_n,test_wins,test_win_rate,test_selected_base_wins,test_selected_baseline_win_rate,test_full_baseline_win_rate,test_selection_gain,test_directional_edge,test_n_long,test_long_wins,test_n_short,test_short_wins
Short: 1–30 min,0,2017,2018,Market-state,30,0.025,2385,0.559748427672956,0.059748427672956,7979,4163,0.521744579521243,4185,0.524501817270335,0.519014084507042,0.00273049501420108,-0.00275723774909131,7617,3993,362,170
Short: 1–30 min,0,2018,2019,Market-state,1,0.05,1412,0.556657223796034,0.056657223796034,651,364,0.559139784946237,337,0.517665130568356,0.510651397611132,0.0484883873351049,0.0414746543778801,440,245,211,119
Short: 1–30 min,0,2019,2020,Full,1,0.05,1163,0.552880481513328,0.0528804815133276,2692,1400,0.520059435364042,1303,0.484026745913819,0.502914285714286,0.0171451496497559,0.0360326894502229,1071,541,1621,859
Short: 1–30 min,0,2020,2021,Full,1,0.075,1274,0.540816326530612,0.0408163265306123,292,167,0.571917808219178,163,0.558219178082192,0.507020280811232,0.0648975274079456,0.0136986301369862,206,122,86,45
Short: 1–30 min,0,2021,2022,Full,10,0.025,2667,0.543307086614173,0.0433070866141733,4694,2363,0.503408606731998,2393,0.509799744354495,0.493346605196982,0.0100620015350159,-0.00639113762249688,3174,1618,1520,745
Short: 1–30 min,0,2022,2023,Full,1,0.025,6012,0.530439121756487,0.030439121756487,2918,1529,0.523989033584647,1493,0.511651816312543,0.494796542040637,0.0291924915440104,0.0123372172721041,1964,1034,954,495
Short: 1–30 min,0,2023,2024,Full,5,0.025,1242,0.549919484702093,0.0499194847020934,1267,683,0.539068666140489,655,0.516969218626677,0.51245360159234,0.0266150645481498,0.0220994475138121,831,451,436,232
Short: 1–30 min,0,2024,2025,Market-state,2,0.025,1181,0.544453852667231,0.0444538526672311,1574,831,0.527954256670902,814,0.51715374841169,0.50826468529586,0.0196895713750426,0.0108005082592122,791,431,783,400
Long: 2–23 h,0,2017,2018,Market-state,1380,0.025,3625,0.642758620689655,0.142758620689655,12637,7019,0.555432460235816,7019,0.555432460235816,0.555432460235816,0,0,12637,7019,0,0
Long: 2–23 h,0,2018,2019,Full,240,0.15,1052,0.588403041825095,0.0884030418250951,100,46,0.46,53,0.53,0.544050632911393,-0.0840506329113924,-0.07,87,43,13,3
Long: 2–23 h,0,2019,2020,Market-state,1380,0.075,1026,0.654970760233918,0.154970760233918,5931,3417,0.576125442589783,3417,0.576125442589783,0.604636634969112,-0.0285111923793298,0,5931,3417,0,0
Long: 2–23 h,0,2020,2021,Calendar-only,720,0.075,1670,0.617365269461078,0.117365269461078,3668,2143,0.584242093784079,2143,0.584242093784079,0.567226616118701,0.0170154776653779,0,3668,2143,0,0
Long: 2–23 h,0,2021,2022,Full,1200,0.1,3178,0.612649465072373,0.112649465072373,4550,2471,0.543076923076923,2471,0.543076923076923,0.497396511325176,0.0456804117517474,0,4550,2471,0,0
Long: 2–23 h,0,2022,2023,Full,720,0.1,1865,0.576943699731904,0.0769436997319035,653,366,0.560490045941807,366,0.560490045941807,0.553712632594021,0.00677741334778581,0,653,366,0,0
Long: 2–23 h,0,2023,2024,Full,1380,0.075,3527,0.607598525659201,0.1075985256592,3419,1962,0.573852003509798,1962,0.573852003509798,0.548773109243698,0.0250788942661007,0,3419,1962,0,0
Long: 2–23 h,0,2024,2025,Market-state,600,0.05,1944,0.622942386831276,0.122942386831276,2556,1401,0.5481220657277,1401,0.5481220657277,0.540463885037187,0.00765818069051305,0,2556,1401,0,0
Short: 1–30 min,0.25,2017,2018,Full,1,0.025,1951,0.554587391081497,0.151925316922354,6077,3159,0.519828862925786,3030,0.498601283528057,0.494552344860256,0.02527651806553,0.0212275793977292,2950,1531,3127,1628
Short: 1–30 min,0.25,2018,2019,Market-state,1,0.05,1412,0.556657223796034,0.157685987745821,651,364,0.559139784946237,337,0.517665130568356,0.510651397611132,0.0484883873351049,0.0414746543778801,440,245,211,119
Short: 1–30 min,0.25,2019,2020,Full,1,0.05,1163,0.552880481513328,0.1471747184423,2692,1400,0.520059435364042,1303,0.484026745913819,0.502914285714286,0.0171451496497559,0.0360326894502229,1071,541,1621,859
Short: 1–30 min,0.25,2020,2021,Full,1,0.075,1274,0.540816326530612,0.113598272804643,292,167,0.571917808219178,163,0.558219178082192,0.507020280811232,0.0648975274079456,0.0136986301369862,206,122,86,45
Short: 1–30 min,0.25,2021,2022,Full,1,0.05,1225,0.539591836734694,0.110190324620503,2102,1102,0.524262607040913,997,0.474310180780209,0.493547354948806,0.030715252092108,0.0499524262607041,1019,508,1083,594
Short: 1–30 min,0.25,2022,2023,Full,1,0.025,6012,0.530439121756487,0.0847168756020649,2918,1529,0.523989033584647,1493,0.511651816312543,0.494796542040637,0.0291924915440104,0.0123372172721041,1964,1034,954,495
Short: 1–30 min,0.25,2023,2024,Full,5,0.025,1242,0.549919484702093,0.0929106300552821,1267,683,0.539068666140489,655,0.516969218626677,0.51245360159234,0.0266150645481498,0.0220994475138121,831,451,436,232
Short: 1–30 min,0.25,2024,2025,Market-state,2,0.025,1181,0.544453852667231,0.104037454923232,1574,831,0.527954256670902,814,0.51715374841169,0.50826468529586,0.0196895713750426,0.0108005082592122,791,431,783,400
Long: 2–23 h,0.25,2017,2018,Market-state,120,0.025,2841,0.593453009503696,0.0785843006863292,11710,6149,0.525106746370623,6148,0.525021349274125,0.527642998701565,-0.00253625233094157,8.5397096498685e-05,11689,6138,21,11
Long: 2–23 h,0.25,2018,2019,Full,240,0.15,1052,0.588403041825095,0.0625103903520427,100,46,0.46,53,0.53,0.544050632911393,-0.0840506329113924,-0.07,87,43,13,3
Long: 2–23 h,0.25,2019,2020,Market-state,1380,0.075,1026,0.654970760233918,0.0707648848869203,5931,3417,0.576125442589783,3417,0.576125442589783,0.604636634969112,-0.0285111923793298,0,5931,3417,0,0
Long: 2–23 h,0.25,2020,2021,Full,120,0.05,1660,0.596385542168675,0.0810502568919243,3619,1902,0.525559546836143,1915,0.529151699364465,0.540741595063722,-0.0151820482275792,-0.00359215252832268,3518,1858,101,44
Long: 2–23 h,0.25,2021,2022,Calendar-only,960,0.1,1549,0.610071013557134,0.0550355067785668,1458,740,0.507544581618656,740,0.507544581618656,0.500198780811026,0.00734580080762992,0,1458,740,0,0
Long: 2–23 h,0.25,2022,2023,Full,720,0.1,1865,0.576943699731904,0.0413406930875813,653,366,0.560490045941807,366,0.560490045941807,0.553712632594021,0.00677741334778581,0,653,366,0,0
Long: 2–23 h,0.25,2023,2024,Full,1200,0.075,3680,0.607336956521739,0.0507565129831868,3933,2222,0.564963132468853,2222,0.564963132468853,0.545009719150077,0.0199534133187762,0,3933,2222,0,0
Long: 2–23 h,0.25,2024,2025,Market-state,480,0.05,1430,0.61958041958042,0.0711029428900228,2022,1129,0.55835806132542,1126,0.556874381800198,0.545700411826172,0.012657649499248,0.00148367952522266,2019,1126,3,3
Short: 1–30 min,0.5,2017,2018,Full,1,0.025,1951,0.554587391081497,0.422832113143096,6077,3159,0.519828862925786,3030,0.498601283528057,0.494552344860256,0.02527651806553,0.0212275793977292,2950,1531,3127,1628
Short: 1–30 min,0.5,2018,2019,Market-state,1,0.05,1412,0.556657223796034,0.438864968408773,651,364,0.559139784946237,337,0.517665130568356,0.510651397611132,0.0484883873351049,0.0414746543778801,440,245,211,119
Short: 1–30 min,0.5,2019,2020,Full,1,0.05,1163,0.552880481513328,0.409610448481094,2692,1400,0.520059435364042,1303,0.484026745913819,0.502914285714286,0.0171451496497559,0.0360326894502229,1071,541,1621,859
Short: 1–30 min,0.5,2020,2021,Full,1,0.075,1274,0.540816326530612,0.316161905812851,292,167,0.571917808219178,163,0.558219178082192,0.507020280811232,0.0648975274079456,0.0136986301369862,206,122,86,45
Short: 1–30 min,0.5,2021,2022,Full,1,0.05,1225,0.539591836734694,0.306677048638465,2102,1102,0.524262607040913,997,0.474310180780209,0.493547354948806,0.030715252092108,0.0499524262607041,1019,508,1083,594
Short: 1–30 min,0.5,2022,2023,Full,1,0.025,6012,0.530439121756487,0.235780423272108,2918,1529,0.523989033584647,1493,0.511651816312543,0.494796542040637,0.0291924915440104,0.0123372172721041,1964,1034,954,495
Short: 1–30 min,0.5,2023,2024,Full,1,0.025,2918,0.523989033584647,0.185818255129896,2560,1333,0.520703125,1239,0.483984375,0.496551724137931,0.024151400862069,0.03671875,1844,928,716,405
Short: 1–30 min,0.5,2024,2025,Market-state,2,0.025,1181,0.544453852667231,0.243483778738537,1574,831,0.527954256670902,814,0.51715374841169,0.50826468529586,0.0196895713750426,0.0108005082592122,791,431,783,400
Long: 2–23 h,0.5,2017,2018,Market-state,120,0.025,2841,0.593453009503696,0.0660812567423542,11710,6149,0.525106746370623,6148,0.525021349274125,0.527642998701565,-0.00253625233094157,8.5397096498685e-05,11689,6138,21,11
Long: 2–23 h,0.5,2018,2019,Market-state,120,0.05,1236,0.565533980582524,0.0463395220680504,433,230,0.531177829099307,230,0.531177829099307,0.536770140428677,-0.00559231132936988,0,433,230,0,0
Long: 2–23 h,0.5,2019,2020,Market-state,1200,0.075,1012,0.648221343873518,0.0331433000617558,5441,3263,0.599705936408748,3263,0.599705936408748,0.603961767557833,-0.00425583114908512,0,5441,3263,0,0
Long: 2–23 h,0.5,2020,2021,Full,120,0.05,1660,0.596385542168675,0.0681548704758118,3619,1902,0.525559546836143,1915,0.529151699364465,0.540741595063722,-0.0151820482275792,-0.00359215252832268,3518,1858,101,44
Long: 2–23 h,0.5,2021,2022,Calendar-only,120,0.05,4686,0.544600938967136,0.0315376263909493,4910,2560,0.521384928716904,2560,0.521384928716904,0.506905769659167,0.0144791590577373,0,4910,2560,0,0
Long: 2–23 h,0.5,2022,2023,Market-state,120,0.05,1588,0.548488664987406,0.0342866638232772,518,288,0.555984555984556,288,0.555984555984556,0.528737588652482,0.0272469673320738,0,518,288,0,0
Long: 2–23 h,0.5,2023,2024,Full,120,0.05,2489,0.55082362394536,0.0359377291362387,2232,1194,0.53494623655914,1194,0.53494623655914,0.53268531150523,0.00226092505391007,0,2232,1194,0,0
Long: 2–23 h,0.5,2024,2025,Market-state,480,0.05,1430,0.61958041958042,0.0422780627912236,2022,1129,0.55835806132542,1126,0.556874381800198,0.545700411826172,0.012657649499248,0.00148367952522266,2019,1126,3,3
