horizon_min,model_id,algo,automl_rank,tau,base_side,n,coverage,wins,win_rate,base_wins,selected_baseline_win_rate,directional_edge,n_long,long_win_rate,n_short,short_win_rate,tie_rate,mean_confidence
1,GLM_1_AutoML_1_20260923_175254,GLM,1,0,1,4023,1,1722,0.428038777032066,1713,0.425801640566741,0.00223713646532436,3310,0.432628398791541,713,0.406732117812062,0.150882426050211,0.0076790262583227
1,GLM_1_AutoML_1_20260923_175254,GLM,1,0.025,1,166,0.0412627392493164,86,0.518072289156627,85,0.512048192771084,0.00602409638554213,165,0.515151515151515,1,1,0.0542168674698795,0.0384578509686006
1,GLM_1_AutoML_1_20260923_175254,GLM,1,0.05,1,23,0.00571712652249565,13,0.565217391304348,13,0.565217391304348,0,23,0.565217391304348,0,,0.0434782608695652,0.0704224957308797
1,GLM_1_AutoML_1_20260923_175254,GLM,1,0.075,1,6,0.00149142431021626,4,0.666666666666667,4,0.666666666666667,0,6,0.666666666666667,0,,0,0.100163953446202
1,DeepLearning_grid_3_AutoML_1_20260923_175254_model_3,DeepLearning,2,0,1,4023,1,1708,0.424558786974894,1713,0.425801640566741,-0.00124285359184689,11,0.636363636363636,4012,0.423978065802592,0.150882426050211,0.00228735690451126
1,GBM_grid_1_AutoML_1_20260923_175254_model_3,GBM,3,0,1,4023,1,1737,0.431767337807606,1713,0.425801640566741,0.00596569724086504,2214,0.435411020776875,1809,0.427307904919845,0.150882426050211,0.0346943286254334
1,GBM_grid_1_AutoML_1_20260923_175254_model_3,GBM,3,0.025,1,2082,0.517524235645041,914,0.439000960614793,889,0.426993275696446,0.0120076849183478,1266,0.439968404423381,816,0.4375,0.145533141210375,0.0558710189075504
1,GBM_grid_1_AutoML_1_20260923_175254_model_3,GBM,3,0.05,1,924,0.229679343773304,429,0.464285714285714,424,0.458874458874459,0.00541125541125542,621,0.483091787439614,303,0.425742574257426,0.132034632034632,0.0799724474472444
1,GBM_grid_1_AutoML_1_20260923_175254_model_3,GBM,3,0.075,1,406,0.100919711657967,206,0.507389162561576,192,0.472906403940887,0.0344827586206897,287,0.519163763066202,119,0.478991596638655,0.100985221674877,0.103953987077972
1,GBM_grid_1_AutoML_1_20260923_175254_model_7,GBM,4,0,1,4023,1,1738,0.432015908525976,1713,0.425801640566741,0.00621426795923441,2149,0.431828757561657,1874,0.432230522945571,0.150882426050211,0.0517504197116782
1,GBM_grid_1_AutoML_1_20260923_175254_model_7,GBM,4,0.025,1,2670,0.663683818046234,1146,0.429213483146067,1138,0.426217228464419,0.00299625468164799,1462,0.428180574555404,1208,0.43046357615894,0.146441947565543,0.07174582256805
1,GBM_grid_1_AutoML_1_20260923_175254_model_7,GBM,4,0.05,1,1650,0.410141685309471,705,0.427272727272727,715,0.433333333333333,-0.0060606060606061,942,0.435244161358811,708,0.416666666666667,0.144848484848485,0.0934268036004504
1,GBM_grid_1_AutoML_1_20260923_175254_model_7,GBM,4,0.075,1,953,0.236887894606015,432,0.453305351521511,420,0.440713536201469,0.012591815320042,594,0.461279461279461,359,0.440111420612813,0.12906610703043,0.117170702114843
1,GBM_3_AutoML_1_20260923_175254,GBM,5,0,1,4023,1,1723,0.428287347750435,1713,0.425801640566741,0.00248570718369373,2119,0.429447852760736,1904,0.426995798319328,0.150882426050211,0.0618924522284436
1,GBM_3_AutoML_1_20260923_175254,GBM,5,0.025,1,2895,0.719612229679344,1243,0.429360967184801,1229,0.424525043177893,0.00483592400690847,1559,0.427838357921745,1336,0.431137724550898,0.149913644214162,0.0812315807476864
1,GBM_3_AutoML_1_20260923_175254,GBM,5,0.05,1,1953,0.485458612975392,853,0.436763952892985,828,0.423963133640553,0.0128008192524322,1072,0.425373134328358,881,0.450624290578888,0.146953405017921,0.102461066206173
1,GBM_3_AutoML_1_20260923_175254,GBM,5,0.075,1,1246,0.309719115088243,540,0.43338683788122,533,0.42776886035313,0.0056179775280899,702,0.424501424501425,544,0.444852941176471,0.148475120385233,0.12560846011761
1,DeepLearning_grid_3_AutoML_1_20260923_175254_model_1,DeepLearning,6,0,1,4023,1,1671,0.415361670395227,1713,0.425801640566741,-0.0104399701715138,1849,0.405083829096809,2174,0.424103035878565,0.150882426050211,0.0264057258726915
1,DeepLearning_grid_3_AutoML_1_20260923_175254_model_1,DeepLearning,6,0.025,1,1354,0.336564752672135,594,0.438700147710487,609,0.449778434268833,-0.0110782865583456,117,0.478632478632479,1237,0.434923201293452,0.113737075332349,0.062152185323003
1,DeepLearning_grid_3_AutoML_1_20260923_175254_model_1,DeepLearning,6,0.05,1,706,0.17549092716878,319,0.451841359773371,323,0.457507082152975,-0.00566572237960344,42,0.523809523809524,664,0.447289156626506,0.0963172804532578,0.0862773311313642
1,DeepLearning_grid_3_AutoML_1_20260923_175254_model_1,DeepLearning,6,0.075,1,326,0.0810340541884166,159,0.487730061349693,145,0.44478527607362,0.0429447852760736,15,0.466666666666667,311,0.488745980707396,0.0705521472392638,0.115573701718988
1,DeepLearning_grid_2_AutoML_1_20260923_175254_model_3,DeepLearning,7,0,1,4023,1,1743,0.433258762117822,1713,0.425801640566741,0.00745712155108125,527,0.499051233396584,3496,0.423340961098398,0.150882426050211,0.0393179782056088
1,DeepLearning_grid_2_AutoML_1_20260923_175254_model_3,DeepLearning,7,0.025,1,2947,0.732537907034551,1264,0.428910756701731,1237,0.419748897183576,0.00916185951815407,263,0.505703422053232,2684,0.421385991058122,0.161520190023753,0.048421216473503
1,DeepLearning_grid_2_AutoML_1_20260923_175254_model_3,DeepLearning,7,0.05,1,1114,0.276907780263485,484,0.434470377019749,496,0.44524236983842,-0.0107719928186714,125,0.552,989,0.419615773508595,0.140933572710952,0.0672060287188965
1,DeepLearning_grid_2_AutoML_1_20260923_175254_model_3,DeepLearning,7,0.075,1,243,0.0604026845637584,119,0.489711934156379,105,0.432098765432099,0.0576131687242799,52,0.480769230769231,191,0.492146596858639,0.0905349794238683,0.0915757391630116
1,GBM_1_AutoML_1_20260923_175254,GBM,8,0,1,4023,1,1698,0.422073079791201,1713,0.425801640566741,-0.00372856077554062,2161,0.426191577973161,1862,0.417293233082707,0.150882426050211,0.060224732477834
1,GBM_1_AutoML_1_20260923_175254,GBM,8,0.025,1,2968,0.737757892120308,1245,0.419474393530997,1281,0.431603773584906,-0.0121293800539083,1616,0.428217821782178,1352,0.409023668639053,0.147574123989218,0.0772427262677187
1,GBM_1_AutoML_1_20260923_175254,GBM,8,0.05,1,2071,0.514789957742978,887,0.428295509415741,904,0.436504104297441,-0.00820859488169967,1161,0.436692506459948,910,0.417582417582418,0.143891839690971,0.0945503839980812
1,GBM_1_AutoML_1_20260923_175254,GBM,8,0.075,1,1275,0.316927665920955,576,0.451764705882353,572,0.448627450980392,0.00313725490196082,759,0.455862977602108,516,0.445736434108527,0.123137254901961,0.114621590481269
1,GBM_5_AutoML_1_20260923_175254,GBM,9,0,1,4023,1,1737,0.431767337807606,1713,0.425801640566741,0.00596569724086504,2089,0.435136428913356,1934,0.428128231644261,0.150882426050211,0.0540370105685175
1,GBM_5_AutoML_1_20260923_175254,GBM,9,0.025,1,2725,0.67735520755655,1201,0.440733944954128,1156,0.424220183486239,0.0165137614678899,1445,0.442214532871972,1280,0.4390625,0.144954128440367,0.0740384537171874
1,GBM_5_AutoML_1_20260923_175254,GBM,9,0.05,1,1688,0.419587372607507,782,0.463270142180095,718,0.425355450236967,0.037914691943128,922,0.463123644251627,766,0.463446475195822,0.145734597156398,0.097024846035593
