variable,relative_importance,scaled_importance,percentage
dow_3,1,1,0.0326478326377938
dow_5,0.994996845722198,0.994996845722198,0.0324844904942711
ret_2,0.994247198104858,0.994247198104858,0.0324600161243228
rv_5,0.96636575460434,0.96636575460434,0.0315497474232178
ret_60,0.954582691192627,0.954582691192627,0.0311650559409917
ret_5,0.951042175292969,0.951042175292969,0.0310494657704482
bar_range,0.944579541683197,0.944579541683197,0.030838474789957
tod_cos_1,0.943718791007996,0.943718791007996,0.0308103731459702
close_location,0.943378806114197,0.943378806114197,0.030799273376058
lower_wick,0.943069994449615,0.943069994449615,0.0307891913445162
ret_30,0.942745208740234,0.942745208740234,0.0307785877950332
dow_7,0.931056499481201,0.931056499481201,0.0303969767713924
