model_id,logloss,auc,aucpr,mean_per_class_error,rmse,mse,algo,horizon_min
GLM_1_AutoML_1_20260923_175254,0.692367461941447,0.512980665975588,0.530934074982345,0.498736310025274,0.499610589161278,0.249610740802079,GLM,1
DeepLearning_grid_3_AutoML_1_20260923_175254_model_3,0.693299182373817,0.498158490194683,0.514515611260985,0.499157540016849,0.500075996239395,0.250076002014823,DeepLearning,1
GBM_grid_1_AutoML_1_20260923_175254_model_3,0.695471334353465,0.509600519705385,0.531511227643415,0.499578770008425,0.501123583281897,0.251124845721289,GBM,1
GBM_grid_1_AutoML_1_20260923_175254_model_7,0.697977858347763,0.528040884908796,0.534866277012575,0.499578770008425,0.502171696770171,0.252176413037033,GBM,1
GBM_3_AutoML_1_20260923_175254,0.698555126471111,0.531623168380954,0.54784389476787,0.5,0.502368223322451,0.252373831804156,GBM,1
DeepLearning_grid_3_AutoML_1_20260923_175254_model_1,0.698843477225401,0.494779673774493,0.513755844477588,0.498315080033698,0.502783629821542,0.252791378416526,DeepLearning,1
DeepLearning_grid_2_AutoML_1_20260923_175254_model_3,0.699261392973252,0.50225010622177,0.520563371064156,0.497840656041608,0.50302422252541,0.253033368447294,DeepLearning,1
GBM_1_AutoML_1_20260923_175254,0.699661722994153,0.514977435769907,0.537719489449702,0.498709713025016,0.503152398189022,0.253162335803364,GBM,1
GBM_5_AutoML_1_20260923_175254,0.700597031295771,0.514258651837952,0.527968069444955,0.499130943016592,0.503532436920553,0.25354491503115,GBM,1
GBM_2_AutoML_1_20260923_175254,0.700769964436884,0.512723339998098,0.535036998265582,0.5,0.503559807237687,0.253572479465257,GBM,1
GBM_4_AutoML_1_20260923_175254,0.703536518125434,0.529408303184525,0.538137875515952,0.498208692032669,0.504413840880614,0.254433322871934,GBM,1
GBM_grid_1_AutoML_1_20260923_175254_model_1,0.704168197771991,0.543058216179088,0.55100681507063,0.498683116024759,0.504562482020788,0.254583298262978,GBM,1
XRT_1_AutoML_1_20260923_175254,0.704198172269941,0.518351597715052,0.538967016276613,0.5,0.505121035901366,0.255147260910069,DRF,1
DRF_1_AutoML_1_20260923_175254,0.706610790909354,0.509138064363411,0.528518248670559,0.492072099148298,0.506341830945199,0.256382049764936,DRF,1
GBM_grid_1_AutoML_1_20260923_175254_model_2,0.70665278047801,0.514753356042739,0.532937493737497,0.499578770008425,0.506148376138358,0.256186178667496,GBM,1
DeepLearning_grid_3_AutoML_1_20260923_175254_model_2,0.707688955479689,0.501144668398575,0.516872353671928,0.498736310025274,0.507155449518095,0.257206649975901,DeepLearning,1
DeepLearning_grid_2_AutoML_1_20260923_175254_model_2,0.711145975548502,0.505557443203768,0.521091957219317,0.5,0.506613550517,0.256657289567441,DeepLearning,1
GBM_grid_1_AutoML_1_20260923_175254_model_4,0.712817462584325,0.496929043857788,0.523145377751426,0.5,0.509119838808609,0.259203010268504,GBM,1
GBM_grid_1_AutoML_1_20260923_175254_model_6,0.713100345133475,0.515794961065316,0.538230394437064,0.499578770008425,0.509044622857373,0.259126428060005,GBM,1
DeepLearning_1_AutoML_1_20260923_175254,0.716803235276647,0.51300360588831,0.530292150532629,0.5,0.509667606293879,0.259761068905332,DeepLearning,1
DeepLearning_grid_2_AutoML_1_20260923_175254_model_1,0.717104008184951,0.499595060671082,0.521135322435857,0.498736310025274,0.509963673196793,0.260062947980366,DeepLearning,1
DeepLearning_grid_1_AutoML_1_20260923_175254_model_2,0.72090544670626,0.52216128553941,0.53488612477145,0.498315080033698,0.511488272782537,0.261620253194063,DeepLearning,1
DeepLearning_grid_1_AutoML_1_20260923_175254_model_3,0.745109398352391,0.508356777480852,0.529264249397353,0.5,0.517611165370644,0.267921318516356,DeepLearning,1
GBM_grid_1_AutoML_1_20260923_175254_model_5,0.760132458511002,0.51135093478482,0.521517174371865,0.5,0.526672355174812,0.277383769705383,GBM,1
DeepLearning_grid_1_AutoML_1_20260923_175254_model_1,0.777661771781286,0.520246966445889,0.535717158378071,0.5,0.526542363789255,0.277246860864776,DeepLearning,1
GLM_1_AutoML_2_20260923_180332,0.692460941513219,0.511625205484957,0.524413338914977,0.498776508972268,0.499656563856231,0.249656681804616,GLM,2
GBM_grid_1_AutoML_2_20260923_180332_model_3,0.693195393785286,0.521435110707572,0.538192605363896,0.49836867862969,0.500020195931949,0.250020196339825,GBM,2
DeepLearning_grid_3_AutoML_2_20260923_180332_model_1,0.694491337540958,0.510336725326421,0.518880090475679,0.494152861970621,0.500633455661639,0.250633856927715,DeepLearning,2
DeepLearning_grid_2_AutoML_2_20260923_180332_model_3,0.694930958443585,0.511023977535738,0.524663261714979,0.499592169657423,0.500873325838305,0.250874088536325,DeepLearning,2
GBM_5_AutoML_2_20260923_180332,0.696612144029699,0.529468018440587,0.535474046460667,0.49870775235562,0.501571731717248,0.251574202057839,GBM,2
DeepLearning_grid_3_AutoML_2_20260923_180332_model_3,0.696796366725232,0.5,0.514455445544554,0.5,0.501804398570432,0.251807654424633,DeepLearning,2
GBM_2_AutoML_2_20260923_180332,0.697307127688016,0.525880430045951,0.543876273565233,0.5,0.50190482366013,0.251908452013306,GBM,2
GBM_1_AutoML_2_20260923_180332,0.697445959669631,0.520821952386514,0.537308840396307,0.498753590100052,0.502069533496118,0.25207381646501,GBM,2
GBM_grid_1_AutoML_2_20260923_180332_model_7,0.698895657643183,0.517776567996212,0.526447692784539,0.499592169657423,0.502694653279575,0.252701914435872,GBM,2
XRT_1_AutoML_2_20260923_180332,0.699914711965351,0.530481472132535,0.533422261040642,0.498753590100052,0.503047006613017,0.253056290862317,DRF,2
