horizon_min,model_id,tau,algo,automl_rank,base_side,n,coverage,wins,win_rate,base_wins,selected_baseline_win_rate,directional_edge,n_long,long_win_rate,n_short,short_win_rate,tie_rate,mean_confidence,objective_score,time_alpha,discovery_rank,test2018_n,test2018_coverage,test2018_win_rate,test2018_baseline,test2018_edge,test2018_n_long,test2018_long_wr,test2018_n_short,test2018_short_wr,test2018_tie_rate
7,DeepLearning_grid_3_AutoML_5_20260923_183457_model_1,0.025,DeepLearning,8,1,1359,0.338059701492537,683,0.502575423105224,652,0.479764532744665,0.0228108903605592,990,0.495959595959596,369,0.520325203252033,0.0426784400294334,0.0662223733097965,0.00257542310522441,0,1,11225,0.548926597877647,0.512427616926503,0.483207126948775,0.0292204899777282,6006,0.505328005328005,5219,0.520597815673501,0.023162583518931
3,GBM_grid_1_AutoML_3_20260923_181403_model_3,0.05,GBM,2,1,1011,0.251117734724292,506,0.500494559841741,477,0.471810089020772,0.0286844708209693,698,0.497134670487106,313,0.507987220447284,0.0850642927794263,0.0856789983968433,0.000494559841740849,0,2,7923,0.387489607277351,0.514830241070302,0.486431907105894,0.0283983339644074,4642,0.511848341232227,3281,0.519049070405364,0.0316799192225167
7,DeepLearning_grid_1_AutoML_5_20260923_183457_model_1,0.075,DeepLearning,25,1,2520,0.626865671641791,1260,0.5,1220,0.484126984126984,0.0158730158730159,1391,0.512580877066858,1129,0.484499557130204,0.0535714285714286,0.185834793815419,0,0,3,15403,0.753239767225781,0.499707849120301,0.486009218983315,0.0136986301369863,9024,0.497894503546099,6379,0.502273083555416,0.0271375706031293
7,DeepLearning_grid_1_AutoML_5_20260923_183457_model_1,0.05,DeepLearning,25,1,2979,0.741044776119403,1478,0.496139644175898,1425,0.478348439073515,0.0177912051023834,1608,0.50497512437811,1371,0.485776805251641,0.0570661295736824,0.166802893342149,-0.00386035582410205,0,4,17013,0.831972223580615,0.498912596249927,0.485040851113854,0.0138717451360724,9877,0.497114508453984,7136,0.50140134529148,0.0289190618938459
7,DeepLearning_grid_2_AutoML_5_20260923_183457_model_1,0.05,DeepLearning,22,1,1670,0.415422885572139,820,0.491017964071856,794,0.475449101796407,0.0155688622754491,856,0.490654205607477,814,0.491400491400491,0.0389221556886228,0.143479793255816,-0.00898203592814373,0,5,13295,0.650154041762433,0.502143663031215,0.487326062429485,0.0148176006017299,5428,0.507000736919676,7867,0.498792424049828,0.0253478751410305
7,GBM_grid_1_AutoML_5_20260923_183457_model_7,0.05,GBM,9,1,1894,0.471144278606965,929,0.490496304118268,903,0.476768743400211,0.013727560718057,1370,0.485401459854015,524,0.50381679389313,0.0501583949313622,0.091077716230373,-0.00950369588173178,0,6,10821,0.529170130568732,0.499861380648739,0.488679419646983,0.0111819610017559,6364,0.499685732243872,4457,0.500112183082791,0.0269845670455596
7,DeepLearning_grid_3_AutoML_5_20260923_183457_model_3,0.075,DeepLearning,6,1,1149,0.285820895522388,563,0.489991296779809,577,0.502175805047868,-0.0121845082680592,975,0.501538461538462,174,0.425287356321839,0.0461270670147955,0.121694107293461,-0.0100087032201915,0,7,7994,0.390923761553132,0.501250938203653,0.49074305729297,0.010507880910683,6170,0.497568881685575,1824,0.513706140350877,0.0241431073304979
3,GBM_5_AutoML_3_20260923_181403,0.075,GBM,5,1,1062,0.263785394932936,519,0.488700564971751,472,0.444444444444444,0.044256120527307,679,0.472754050073638,383,0.516971279373368,0.0903954802259887,0.122947966163716,-0.0112994350282486,0,8,7767,0.37986012617988,0.517831852710184,0.482811896485129,0.0350199562250547,4153,0.514326992535517,3614,0.5218594355285,0.0351487060641174
7,GLM_1_AutoML_5_20260923_183457,0.025,GLM,1,1,1662,0.413432835820896,811,0.487966305655836,816,0.490974729241877,-0.00300842358604092,1647,0.489374620522162,15,0.333333333333333,0.0433212996389892,0.0350472292774025,-0.0120336943441637,0,9,7432,0.363440755049147,0.510898815931109,0.5002691065662,0.0106297093649086,6374,0.507216818324443,1058,0.533081285444234,0.0238159311087191
7,DeepLearning_grid_1_AutoML_5_20260923_183457_model_1,0.025,DeepLearning,25,1,3500,0.870646766169154,1707,0.487714285714286,1676,0.478857142857143,0.00885714285714284,1880,0.496808510638298,1620,0.47716049382716,0.0565714285714286,0.147534707098346,-0.0122857142857143,0,10,18731,0.915986111790308,0.496876835192996,0.485184987453953,0.0116918477390423,10742,0.49618320610687,7989,0.497809488046063,0.0303240617158721
7,DeepLearning_grid_3_AutoML_5_20260923_183457_model_1,0.025,DeepLearning,8,1,1359,0.338059701492537,683,0.502575423105224,652,0.479764532744665,0.0228108903605592,990,0.495959595959596,369,0.520325203252033,0.0426784400294334,0.0662223733097965,0.00158333961392892,0.25,1,11225,0.548926597877647,0.512427616926503,0.483207126948775,0.0292204899777282,6006,0.505328005328005,5219,0.520597815673501,0.023162583518931
3,GBM_grid_1_AutoML_3_20260923_181403_model_3,0.05,GBM,2,1,1011,0.251117734724292,506,0.500494559841741,477,0.471810089020772,0.0286844708209693,698,0.497134670487106,313,0.507987220447284,0.0850642927794263,0.0856789983968433,0.000375784216444901,0.25,2,7923,0.387489607277351,0.514830241070302,0.486431907105894,0.0283983339644074,4642,0.511848341232227,3281,0.519049070405364,0.0316799192225167
7,DeepLearning_grid_1_AutoML_5_20260923_183457_model_1,0.075,DeepLearning,25,1,2520,0.626865671641791,1260,0.5,1220,0.484126984126984,0.0158730158730159,1391,0.512580877066858,1129,0.484499557130204,0.0535714285714286,0.185834793815419,0,0.25,3,15403,0.753239767225781,0.499707849120301,0.486009218983315,0.0136986301369863,9024,0.497894503546099,6379,0.502273083555416,0.0271375706031293
7,DeepLearning_grid_1_AutoML_5_20260923_183457_model_1,0.05,DeepLearning,25,1,2979,0.741044776119403,1478,0.496139644175898,1425,0.478348439073515,0.0177912051023834,1608,0.50497512437811,1371,0.485776805251641,0.0570661295736824,0.166802893342149,-0.00237330102683435,0.25,4,17013,0.831972223580615,0.498912596249927,0.485040851113854,0.0138717451360724,9877,0.497114508453984,7136,0.50140134529148,0.0289190618938459
7,DeepLearning_grid_2_AutoML_5_20260923_183457_model_1,0.05,DeepLearning,22,1,1670,0.415422885572139,820,0.491017964071856,794,0.475449101796407,0.0155688622754491,856,0.490654205607477,814,0.491400491400491,0.0389221556886228,0.143479793255816,-0.00552204927800538,0.25,5,13295,0.650154041762433,0.502143663031215,0.487326062429485,0.0148176006017299,5428,0.507000736919676,7867,0.498792424049828,0.0253478751410305
7,GBM_grid_1_AutoML_5_20260923_183457_model_7,0.05,GBM,9,1,1894,0.471144278606965,929,0.490496304118268,903,0.476768743400211,0.013727560718057,1370,0.485401459854015,524,0.50381679389313,0.0501583949313622,0.091077716230373,-0.00584275963734042,0.25,6,10821,0.529170130568732,0.499861380648739,0.488679419646983,0.0111819610017559,6364,0.499685732243872,4457,0.500112183082791,0.0269845670455596
7,DeepLearning_grid_3_AutoML_5_20260923_183457_model_3,0.075,DeepLearning,6,1,1149,0.285820895522388,563,0.489991296779809,577,0.502175805047868,-0.0121845082680592,975,0.501538461538462,174,0.425287356321839,0.0461270670147955,0.121694107293461,-0.00615323216617889,0.25,7,7994,0.390923761553132,0.501250938203653,0.49074305729297,0.010507880910683,6170,0.497568881685575,1824,0.513706140350877,0.0241431073304979
7,GLM_1_AutoML_5_20260923_183457,0.025,GLM,1,1,1662,0.413432835820896,811,0.487966305655836,816,0.490974729241877,-0.00300842358604092,1647,0.489374620522162,15,0.333333333333333,0.0433212996389892,0.0350472292774025,-0.00739817271902847,0.25,8,7432,0.363440755049147,0.510898815931109,0.5002691065662,0.0106297093649086,6374,0.507216818324443,1058,0.533081285444234,0.0238159311087191
7,DeepLearning_grid_1_AutoML_5_20260923_183457_model_1,0.025,DeepLearning,25,1,3500,0.870646766169154,1707,0.487714285714286,1676,0.478857142857143,0.00885714285714284,1880,0.496808510638298,1620,0.47716049382716,0.0565714285714286,0.147534707098346,-0.00755311159340125,0.25,9,18731,0.915986111790308,0.496876835192996,0.485184987453953,0.0116918477390423,10742,0.49618320610687,7989,0.497809488046063,0.0303240617158721
7,DeepLearning_grid_1_AutoML_5_20260923_183457_model_2,0.075,DeepLearning,23,1,1952,0.485572139303483,951,0.48719262295082,955,0.489241803278689,-0.00204918032786888,1431,0.491963661774983,521,0.474088291746641,0.0496926229508197,0.172697110133608,-0.00787382368021599,0.25,10,12429,0.607804782629957,0.510499637943519,0.483144259393354,0.0273553785501649,5794,0.505005177770107,6635,0.515297663903542,0.0244589267036769
7,DeepLearning_grid_3_AutoML_5_20260923_183457_model_1,0.025,DeepLearning,8,1,1359,0.338059701492537,683,0.502575423105224,652,0.479764532744665,0.0228108903605592,990,0.495959595959596,369,0.520325203252033,0.0426784400294334,0.0662223733097965,0.00097341843674193,0.5,1,11225,0.548926597877647,0.512427616926503,0.483207126948775,0.0292204899777282,6006,0.505328005328005,5219,0.520597815673501,0.023162583518931
3,GBM_grid_1_AutoML_3_20260923_181403_model_3,0.05,GBM,2,1,1011,0.251117734724292,506,0.500494559841741,477,0.471810089020772,0.0286844708209693,698,0.497134670487106,313,0.507987220447284,0.0850642927794263,0.0856789983968433,0.000285534257759458,0.5,2,7923,0.387489607277351,0.514830241070302,0.486431907105894,0.0283983339644074,4642,0.511848341232227,3281,0.519049070405364,0.0316799192225167
