horizon_min,model,tau,n,wins,base_wins_selected,full_n,full_model_wins,full_base_wins,n_long,long_wins,n_short,short_wins,win_rate,selected_baseline_win_rate,full_model_win_rate,full_baseline_win_rate,selected_directional_edge,selection_gain_vs_full_baseline,coverage,long_win_rate,short_win_rate
1,Calendar-only,0,151384,75766,75844,151384,75766,75844,78598,39412,72786,36354,0.500488823125297,0.501004069122232,0.500488823125297,0.501004069122232,-0.000515245996934866,-0.000515245996934866,1,0.501437695615665,0.499464182672492
1,Calendar-only,0.025,38888,19692,19547,151384,75766,75844,22531,11441,16357,8251,0.50637728862374,0.502648631968731,0.500488823125297,0.501004069122232,0.00372865665500932,0.00537321950150782,0.256883158061618,0.50778926811948,0.504432353120988
1,Calendar-only,0.05,5982,3141,3131,151384,75766,75844,4766,2528,1216,613,0.525075225677031,0.523403543965229,0.500488823125297,0.501004069122232,0.0016716817118021,0.024071156554799,0.0395154045341648,0.530423835501469,0.504111842105263
1,Calendar-only,0.075,1501,812,817,147646,73887,73927,1454,791,47,21,0.540972684876749,0.544303797468355,0.500433469244003,0.500704387521504,-0.00333111259160557,0.0402682973552447,0.0101662083632472,0.544016506189821,0.446808510638298
1,Market-state,0,151384,77734,75844,151384,77734,75844,94644,48419,56740,29315,0.513488875971041,0.501004069122232,0.513488875971041,0.501004069122232,0.0124848068488084,0.0124848068488084,1,0.511590803431808,0.51665491716602
1,Market-state,0.025,26393,13884,13315,151384,77734,75844,15292,8049,11101,5835,0.526048573485394,0.504489826848028,0.513488875971041,0.501004069122232,0.0215587466373659,0.0250445043631616,0.174344712783385,0.52635364896678,0.525628321772813
1,Market-state,0.05,7914,4205,3879,151384,77734,75844,4238,2204,3676,2001,0.531336871367197,0.490144048521607,0.513488875971041,0.501004069122232,0.0411928228455901,0.0303328022449652,0.0522776515351688,0.520056630486078,0.544341675734494
1,Market-state,0.075,3011,1602,1477,151384,77734,75844,1486,777,1525,825,0.532049153105281,0.490534706077715,0.513488875971041,0.501004069122232,0.0415144470275656,0.0310450839830485,0.0198898166252708,0.522880215343203,0.540983606557377
1,Market-state,0.1,1311,684,639,151384,77734,75844,588,300,723,384,0.521739130434783,0.487414187643021,0.513488875971041,0.501004069122232,0.034324942791762,0.0207350613125504,0.00866009617925276,0.510204081632653,0.531120331950207
1,Market-state,0.15,359,179,185,147646,75824,73927,131,68,228,111,0.498607242339833,0.515320334261839,0.513552686832017,0.500704387521504,-0.0167130919220055,-0.00209714518167126,0.00243149154057679,0.519083969465649,0.486842105263158
1,Full,0,151384,77270,75844,151384,77270,75844,83558,42644,67826,34626,0.510423822861069,0.501004069122232,0.510423822861069,0.501004069122232,0.00941975373883641,0.00941975373883641,1,0.510352090763302,0.51051219296435
1,Full,0.025,37547,19769,18892,151384,77270,75844,21232,11173,16315,8596,0.526513436492929,0.503156044424322,0.510423822861069,0.501004069122232,0.0233573920686073,0.0255093673706966,0.248024890345083,0.526233986435569,0.526877106956788
1,Full,0.05,12016,6390,5974,151384,77270,75844,6356,3352,5660,3038,0.531790945406125,0.497170439414115,0.510423822861069,0.501004069122232,0.0346205059920106,0.030786876283893,0.0793743063996195,0.527375707992448,0.536749116607774
1,Full,0.075,4323,2322,2120,151384,77270,75844,2039,1079,2284,1243,0.537126995142262,0.490400185056674,0.510423822861069,0.501004069122232,0.0467268100855888,0.0361229260200302,0.028556518522433,0.529180971064247,0.544220665499124
1,Full,0.1,1716,892,798,151384,77270,75844,722,348,994,544,0.51981351981352,0.465034965034965,0.510423822861069,0.501004069122232,0.0547785547785548,0.0188094506912877,0.0113354119325688,0.481994459833795,0.54728370221328
1,Full,0.15,426,227,219,147646,75380,73927,144,82,282,145,0.532863849765258,0.514084507042254,0.510545493951749,0.500704387521504,0.0187793427230047,0.0321594622437541,0.00288527965539195,0.569444444444445,0.514184397163121
1,Calendar-only,0.1,100,54,54,32725,16376,16408,100,54,0,0,0.54,0.54,0.500412528647823,0.501390374331551,0,0.0386096256684493,0.00305576776165011,0.54,
2,Calendar-only,0,153555,76764,77252,153555,76764,77252,80918,40770,72637,35994,0.499912083618248,0.503090098010485,0.499912083618248,0.503090098010485,-0.00317801439223736,-0.00317801439223736,1,0.503843397019205,0.495532579814695
2,Calendar-only,0.025,40590,20305,20526,153555,76764,77252,22709,11481,17881,8824,0.500246366100025,0.505691056910569,0.499912083618248,0.503090098010485,-0.00544469081054455,-0.00284373191046028,0.264335254469083,0.505570478664847,0.493484704434875
2,Calendar-only,0.05,4413,2258,2223,153555,76764,77252,2555,1310,1858,948,0.511670065714933,0.503738953093134,0.499912083618248,0.503090098010485,0.00793111262179924,0.00857996770444824,0.0287388883461952,0.512720156555773,0.510226049515608
2,Market-state,0,153555,78866,77252,153555,78866,77252,99914,51319,53641,27547,0.513600989873335,0.503090098010485,0.513600989873335,0.503090098010485,0.0105108918628504,0.0105108918628504,1,0.513631723282023,0.513543744523779
2,Market-state,0.025,28074,14766,14123,153555,78866,77252,14136,7486,13938,7280,0.525967086984398,0.50306333262093,0.513600989873335,0.503090098010485,0.022903754363468,0.0228769889739136,0.182827000097685,0.529569892473118,0.522313100875305
2,Market-state,0.05,8778,4555,4289,153555,78866,77252,3672,1868,5106,2687,0.518910913647756,0.488607883344726,0.513600989873335,0.503090098010485,0.0303030303030303,0.0158208156372709,0.057165185112826,0.508714596949891,0.526243634939287
2,Market-state,0.075,3644,1850,1746,153555,78866,77252,1331,634,2313,1216,0.50768386388584,0.479143798024149,0.513600989873335,0.503090098010485,0.0285400658616904,0.00459376587535487,0.0237309107485917,0.4763335837716,0.525724167747514
2,Market-state,0.1,1682,833,809,153555,78866,77252,552,254,1130,579,0.495243757431629,0.480975029726516,0.513600989873335,0.503090098010485,0.014268727705113,-0.00784634057885586,0.0109537299338999,0.460144927536232,0.512389380530974
2,Market-state,0.15,492,250,235,149803,76908,75368,124,58,368,192,0.508130081300813,0.477642276422764,0.5133942577919,0.503114089837987,0.0304878048780488,0.00501599146282583,0.00328431339826305,0.467741935483871,0.521739130434783
2,Full,0,153555,78726,77252,153555,78726,77252,85592,44088,67963,34638,0.512689264432939,0.503090098010485,0.512689264432939,0.503090098010485,0.00959916642245451,0.00959916642245451,1,0.515094868679316,0.509659667760399
2,Full,0.025,36444,19113,18242,153555,78726,77252,18122,9542,18322,9571,0.524448468883767,0.500548787180331,0.512689264432939,0.503090098010485,0.0238996817034354,0.021358370873282,0.237335156784214,0.526542324246772,0.522377469708547
2,Full,0.05,10995,5699,5354,153555,78726,77252,4420,2251,6575,3448,0.518326512050932,0.486948613005912,0.512689264432939,0.503090098010485,0.0313778990450205,0.0152364140404474,0.0716030086939533,0.509276018099548,0.524410646387833
2,Full,0.075,4316,2205,2063,153555,78726,77252,1460,696,2856,1509,0.510889712696942,0.477988878591288,0.512689264432939,0.503090098010485,0.0329008341056534,0.00779961468645674,0.0281071928624923,0.476712328767123,0.528361344537815
