horizon_min,signals,exact_future_bar,target_available_rate,exact_ties
1,358456,349557,0.975174079942866,39963
2,358456,348779,0.973003660142389,29057
3,358456,348361,0.9718375477046,24390
5,358456,348718,0.972833485839266,19049
7,358456,347835,0.970370143058004,16365
10,358456,348162,0.971282388912447,13911
15,358456,343863,0.959289285156337,11411
20,358456,342086,0.954331912424398,9422
30,358456,340120,0.948847278327047,7896
120,358456,330312,0.921485482179124,3792
240,358456,322077,0.898511951257616,2436
360,358456,315639,0.88055158792153,1844
480,358456,309017,0.862077911933403,1542
600,358456,301354,0.840700113821501,1364
720,358456,294778,0.822354765996385,1128
960,358456,283201,0.790057915057915,803
1200,358456,271404,0.757147320731136,721
1380,358456,266504,0.743477581627871,621
