feature_set,feature
NQ_BASE,nq_bar_ret
NQ_BASE,nq_range
NQ_BASE,nq_close_loc
NQ_BASE,nq_ret1
NQ_BASE,nq_ret2
NQ_BASE,nq_ret5
NQ_BASE,nq_ret15
NQ_BASE,nq_ret30
NQ_BASE,nq_ret60
NQ_BASE,nq_rv5
NQ_BASE,nq_rv15
NQ_BASE,nq_rv60
NQ_BASE,nq_rs15
NQ_BASE,nq_rs60
NQ_BASE,nq_rv5_over_60
NQ_BASE,nq_rs15_over_60
NQ_BASE,tod_sin
NQ_BASE,tod_cos
NQ_BASE,dow_2
NQ_BASE,dow_3
NQ_BASE,dow_4
NQ_BASE,dow_5
NQ_BASE,dow_7
NQ_BASE,season_spring
NQ_BASE,season_summer
NQ_BASE,season_autumn
NQ_BASE_PLUS_TECH,nq_bar_ret
NQ_BASE_PLUS_TECH,nq_range
NQ_BASE_PLUS_TECH,nq_close_loc
NQ_BASE_PLUS_TECH,nq_ret1
NQ_BASE_PLUS_TECH,nq_ret2
NQ_BASE_PLUS_TECH,nq_ret5
NQ_BASE_PLUS_TECH,nq_ret15
NQ_BASE_PLUS_TECH,nq_ret30
NQ_BASE_PLUS_TECH,nq_ret60
NQ_BASE_PLUS_TECH,nq_rv5
NQ_BASE_PLUS_TECH,nq_rv15
NQ_BASE_PLUS_TECH,nq_rv60
NQ_BASE_PLUS_TECH,nq_rs15
NQ_BASE_PLUS_TECH,nq_rs60
NQ_BASE_PLUS_TECH,nq_rv5_over_60
NQ_BASE_PLUS_TECH,nq_rs15_over_60
NQ_BASE_PLUS_TECH,tod_sin
NQ_BASE_PLUS_TECH,tod_cos
NQ_BASE_PLUS_TECH,dow_2
NQ_BASE_PLUS_TECH,dow_3
NQ_BASE_PLUS_TECH,dow_4
NQ_BASE_PLUS_TECH,dow_5
NQ_BASE_PLUS_TECH,dow_7
NQ_BASE_PLUS_TECH,season_spring
NQ_BASE_PLUS_TECH,season_summer
NQ_BASE_PLUS_TECH,season_autumn
NQ_BASE_PLUS_TECH,nq_rsi14
NQ_BASE_PLUS_TECH,nq_macd
NQ_BASE_PLUS_TECH,nq_macd_signal
NQ_BASE_PLUS_TECH,nq_macd_hist
NQ_BASE_PLUS_TECH,nq_bb_pctB
NQ_BASE_PLUS_TECH,nq_bb_width
NQ_BASE_PLUS_TECH,nq_vwap20_dist
NQ_BASE_PLUS_TECH,nq_ema20_dist
NQ_BASE_PLUS_TECH,nq_ema60_dist
NQ_BASE_PLUS_TECH,nq_ema20_60_spread
NQ_BASE_PLUS_TECH,nq_adx14
NQ_BASE_PLUS_TECH,nq_di_spread14
NQ_BASE_PLUS_TECH,nq_donchian20_pos
NQ_BASE_PLUS_TECH,nq_breakout20_up
NQ_BASE_PLUS_TECH,nq_breakout20_down
NQ_BASE_PLUS_TECH,nq_vol_rel15
NQ_BASE_PLUS_TECH,nq_vol_rel60
