candidate_id,fold,full_year,horizon,feature_set,model_id,xgb_depth,target_coverage,confidence_cutoff,base_side,selected_n,coverage,wins,win_rate,base_wins,baseline_wr,edge,flat_rate,active_weeks,unique_days,top_day_share,top5_day_share,nonoverlap_n,nonoverlap_fraction,long_n,long_wins,long_wr,short_n,short_wins,short_wr,up_only_wr,down_only_wr,aggregate_rank
7__NQ_ES__xgb_d2__0.0100,2026_YTD,FALSE,7,NQ_ES,xgb_d2,2,0.01,0.0750900268554688,1,42,0.00957155879671832,21,0.5,19,0.452380952380952,0.0476190476190476,0.0476190476190476,10,30,0.0952380952380952,0.333333333333333,42,1,40,19,0.475,2,2,1,0.452380952380952,0.5,1
7__NQ_ES__xgb_d2__0.0500,2026_YTD,FALSE,7,NQ_ES,xgb_d2,2,0.05,0.0604223608970642,1,222,0.0505925250683683,114,0.513513513513514,112,0.504504504504505,0.00900900900900901,0.00900900900900901,11,58,0.0495495495495496,0.193693693693694,222,1,200,102,0.51,22,12,0.545454545454545,0.504504504504505,0.486486486486487,2
7__NQ_ONLY__xgb_d2__0.0500,2026_YTD,FALSE,7,NQ_ONLY,xgb_d2,2,0.05,0.0601959824562073,1,208,0.0474020054694622,105,0.504807692307692,110,0.528846153846154,-0.0240384615384615,0.0144230769230769,11,60,0.0480769230769231,0.192307692307692,208,1,185,96,0.518918918918919,23,9,0.391304347826087,0.528846153846154,0.456730769230769,3
10__NQ_ES__xgb_d4__0.0050,2026_YTD,FALSE,10,NQ_ES,xgb_d4,4,0.005,0.0900419235229492,1,17,0.00387420237010027,13,0.764705882352941,14,0.823529411764706,-0.0588235294117647,0,9,13,0.294117647058824,0.529411764705882,17,1,14,12,0.857142857142857,3,1,0.333333333333333,0.823529411764706,0.176470588235294,4
7__NQ_ONLY__ranger__0.0200,2026_YTD,FALSE,7,NQ_ONLY,ranger,,0.02,0.070046335386781,1,77,0.0175478577939836,44,0.571428571428571,40,0.51948051948052,0.051948051948052,0.025974025974026,11,46,0.0649350649350649,0.246753246753247,77,1,65,36,0.553846153846154,12,8,0.666666666666667,0.51948051948052,0.454545454545455,5
7__NQ_ONLY__xgb_d3__0.1000,2026_YTD,FALSE,7,NQ_ONLY,xgb_d3,3,0.1,0.0548530519008637,1,440,0.100273473108478,220,0.5,229,0.520454545454546,-0.0204545454545455,0.0159090909090909,11,62,0.0363636363636364,0.170454545454545,440,1,337,173,0.513353115727003,103,47,0.456310679611651,0.520454545454546,0.463636363636364,6
7__NQ_ONLY__ranger__0.0500,2026_YTD,FALSE,7,NQ_ONLY,ranger,,0.05,0.0586626091880401,1,202,0.0460346399270738,103,0.50990099009901,105,0.51980198019802,-0.0099009900990099,0.0099009900990099,11,58,0.0495049504950495,0.198019801980198,202,1,166,86,0.518072289156627,36,17,0.472222222222222,0.51980198019802,0.47029702970297,7
7__NQ_ONLY__logit__0.0200,2026_YTD,FALSE,7,NQ_ONLY,logit,,0.02,0.0809198439658202,1,55,0.0125341841385597,27,0.490909090909091,30,0.545454545454545,-0.0545454545454545,0.0181818181818182,11,30,0.0909090909090909,0.363636363636364,55,1,52,27,0.519230769230769,3,0,0,0.545454545454545,0.436363636363636,8
7__NQ_ONLY__xgb_d4__0.1000,2026_YTD,FALSE,7,NQ_ONLY,xgb_d4,4,0.1,0.059467077255249,1,407,0.0927529626253418,217,0.533169533169533,221,0.542997542997543,-0.00982800982800983,0.0122850122850123,11,62,0.0368550368550369,0.164619164619165,407,1,295,163,0.552542372881356,112,54,0.482142857142857,0.542997542997543,0.444717444717445,9
5__NQ_ONLY__logit__0.0500,2026_YTD,FALSE,5,NQ_ONLY,logit,,0.05,0.0643527401091975,1,197,0.0448849396217817,112,0.568527918781726,118,0.598984771573604,-0.0304568527918782,0.0101522842639594,11,49,0.0406091370558376,0.187817258883249,197,1,175,104,0.594285714285714,22,8,0.363636363636364,0.598984771573604,0.390862944162437,10
7__NQ_ES__xgb_d3__0.1000,2026_YTD,FALSE,7,NQ_ES,xgb_d3,3,0.1,0.0546975135803223,1,458,0.104375569735643,241,0.526200873362445,242,0.528384279475983,-0.00218340611353712,0.0152838427947598,11,62,0.0414847161572052,0.189956331877729,458,1,353,189,0.535410764872521,105,52,0.495238095238095,0.528384279475983,0.456331877729258,11
7__NQ_ES__ranger__0.1000,2026_YTD,FALSE,7,NQ_ES,ranger,,0.1,0.0493540189484933,1,414,0.0943482224247949,222,0.536231884057971,228,0.550724637681159,-0.0144927536231884,0.00966183574879227,11,62,0.036231884057971,0.164251207729469,414,1,342,189,0.552631578947369,72,33,0.458333333333333,0.550724637681159,0.439613526570048,12
7__NQ_ES__xgb_d3__0.0500,2026_YTD,FALSE,7,NQ_ES,xgb_d3,3,0.05,0.0654410421848297,1,227,0.0517319963536919,118,0.519823788546256,118,0.519823788546256,0,0.013215859030837,11,61,0.052863436123348,0.202643171806167,227,1,181,95,0.524861878453039,46,23,0.5,0.519823788546256,0.466960352422908,13
7__NQ_ES__xgb_d2__0.1000,2026_YTD,FALSE,7,NQ_ES,xgb_d2,2,0.1,0.051035463809967,1,444,0.101185050136737,222,0.5,235,0.529279279279279,-0.0292792792792793,0.0157657657657658,11,62,0.0382882882882883,0.168918918918919,444,1,372,193,0.518817204301075,72,29,0.402777777777778,0.529279279279279,0.454954954954955,14
7__NQ_ONLY__logit__0.0500,2026_YTD,FALSE,7,NQ_ONLY,logit,,0.05,0.0669938697619669,1,182,0.0414767547857794,103,0.565934065934066,108,0.593406593406593,-0.0274725274725275,0.0054945054945055,11,50,0.043956043956044,0.203296703296703,182,1,157,93,0.592356687898089,25,10,0.4,0.593406593406593,0.401098901098901,15
7__NQ_ONLY__ranger__0.1000,2026_YTD,FALSE,7,NQ_ONLY,ranger,,0.1,0.0484938719875251,1,434,0.0989061075660893,224,0.516129032258065,231,0.532258064516129,-0.0161290322580645,0.0115207373271889,11,62,0.0368663594470046,0.165898617511521,434,1,345,183,0.530434782608696,89,41,0.460674157303371,0.532258064516129,0.456221198156682,16
7__NQ_ONLY__xgb_d3__0.0500,2026_YTD,FALSE,7,NQ_ONLY,xgb_d3,3,0.05,0.0654404759407044,1,215,0.0489972652689152,103,0.47906976744186,111,0.516279069767442,-0.0372093023255814,0.027906976744186,11,58,0.0558139534883721,0.195348837209302,215,1,171,85,0.497076023391813,44,18,0.409090909090909,0.516279069767442,0.455813953488372,17
