candidate_id,horizon,feature_set,model_id,xgb_depth,target_coverage,selected_n,coverage,win_rate,baseline_wr,edge,active_weeks,unique_days,top_day_share,top5_day_share,nonoverlap_n,long_n,long_wr,short_n,short_wr,viewed_in_v5
1__NQ_ONLY__logit__0.5000,1,NQ_ONLY,logit,,0.5,2305,0.525056947608201,0.508026030368764,0.499783080260304,0.00824295010845987,11,62,0.0251626898047722,0.118872017353579,2305,1656,0.509661835748792,649,0.503852080123267,TRUE
1__NQ_ONLY__logit__0.2000,1,NQ_ONLY,logit,,0.2,996,0.226879271070615,0.495983935742972,0.493975903614458,0.00200803212851406,11,62,0.035140562248996,0.152610441767068,996,782,0.49616368286445,214,0.495327102803738,TRUE
1__NQ_ONLY__logit__0.1000,1,NQ_ONLY,logit,,0.1,519,0.118223234624146,0.522157996146436,0.516377649325626,0.00578034682080925,11,60,0.046242774566474,0.177263969171484,519,401,0.526184538653367,118,0.508474576271186,TRUE
1__NQ_ONLY__logit__0.0500,1,NQ_ONLY,logit,,0.05,234,0.0533029612756264,0.525641025641026,0.508547008547009,0.0170940170940171,11,54,0.0683760683760684,0.239316239316239,234,178,0.52247191011236,56,0.535714285714286,TRUE
1__NQ_ONLY__logit__0.0200,1,NQ_ONLY,logit,,0.02,68,0.0154897494305239,0.558823529411765,0.514705882352941,0.0441176470588235,11,34,0.0882352941176471,0.352941176470588,68,45,0.555555555555556,23,0.565217391304348,TRUE
1__NQ_ONLY__logit__0.0100,1,NQ_ONLY,logit,,0.01,24,0.00546697038724374,0.583333333333333,0.625,-0.0416666666666667,9,16,0.166666666666667,0.541666666666667,24,19,0.631578947368421,5,0.4,TRUE
1__NQ_ONLY__logit__0.0050,1,NQ_ONLY,logit,,0.005,7,0.00159453302961276,0.571428571428571,0.714285714285714,-0.142857142857143,5,6,0.285714285714286,0.857142857142857,7,4,0.75,3,0.333333333333333,TRUE
1__NQ_ONLY__ranger__0.5000,1,NQ_ONLY,ranger,,0.5,2220,0.505694760820046,0.5,0.485135135135135,0.0148648648648649,11,62,0.0238738738738739,0.115315315315315,2220,1589,0.494650723725614,631,0.513470681458003,TRUE
1__NQ_ONLY__ranger__0.2000,1,NQ_ONLY,ranger,,0.2,920,0.209567198177677,0.523913043478261,0.490217391304348,0.033695652173913,11,62,0.0293478260869565,0.135869565217391,920,674,0.513353115727003,246,0.552845528455285,TRUE
1__NQ_ONLY__ranger__0.1000,1,NQ_ONLY,ranger,,0.1,453,0.103189066059226,0.518763796909492,0.472406181015453,0.0463576158940397,11,62,0.033112582781457,0.152317880794702,453,307,0.498371335504886,146,0.561643835616438,TRUE
1__NQ_ONLY__ranger__0.0500,1,NQ_ONLY,ranger,,0.05,188,0.0428246013667426,0.51063829787234,0.457446808510638,0.0531914893617021,11,54,0.0478723404255319,0.212765957446809,188,107,0.485981308411215,81,0.54320987654321,TRUE
1__NQ_ONLY__ranger__0.0200,1,NQ_ONLY,ranger,,0.02,79,0.017995444191344,0.556962025316456,0.417721518987342,0.139240506329114,11,40,0.0632911392405063,0.278481012658228,79,35,0.485714285714286,44,0.613636363636364,TRUE
1__NQ_ONLY__ranger__0.0100,1,NQ_ONLY,ranger,,0.01,30,0.00683371298405467,0.533333333333333,0.433333333333333,0.1,11,24,0.1,0.366666666666667,30,7,0.428571428571429,23,0.565217391304348,TRUE
1__NQ_ONLY__ranger__0.0050,1,NQ_ONLY,ranger,,0.005,17,0.00387243735763098,0.588235294117647,0.588235294117647,0,9,15,0.117647058823529,0.411764705882353,17,3,1,14,0.5,TRUE
1__NQ_ONLY__xgb_d2__0.5000,1,NQ_ONLY,xgb_d2,2,0.5,2225,0.506833712984055,0.514606741573034,0.493033707865169,0.0215730337078652,11,62,0.0238202247191011,0.113258426966292,2225,1532,0.510443864229765,693,0.523809523809524,TRUE
1__NQ_ONLY__xgb_d2__0.2000,1,NQ_ONLY,xgb_d2,2,0.2,950,0.216400911161731,0.526315789473684,0.481052631578947,0.0452631578947369,11,62,0.0263157894736842,0.126315789473684,950,675,0.511111111111111,275,0.563636363636364,TRUE
1__NQ_ONLY__xgb_d2__0.1000,1,NQ_ONLY,xgb_d2,2,0.1,464,0.105694760820046,0.545258620689655,0.504310344827586,0.040948275862069,11,59,0.0344827586206897,0.148706896551724,464,327,0.53822629969419,137,0.562043795620438,TRUE
1__NQ_ONLY__xgb_d2__0.0500,1,NQ_ONLY,xgb_d2,2,0.05,241,0.0548974943052392,0.514522821576763,0.460580912863071,0.053941908713693,11,56,0.037344398340249,0.178423236514523,241,152,0.486842105263158,89,0.561797752808989,TRUE
1__NQ_ONLY__xgb_d2__0.0200,1,NQ_ONLY,xgb_d2,2,0.02,97,0.0220956719817768,0.45360824742268,0.463917525773196,-0.0103092783505155,11,40,0.0515463917525773,0.237113402061856,97,56,0.428571428571429,41,0.487804878048781,TRUE
1__NQ_ONLY__xgb_d2__0.0100,1,NQ_ONLY,xgb_d2,2,0.01,50,0.0113895216400911,0.5,0.46,0.04,11,29,0.08,0.32,50,24,0.458333333333333,26,0.538461538461538,TRUE
1__NQ_ONLY__xgb_d2__0.0050,1,NQ_ONLY,xgb_d2,2,0.005,25,0.00569476082004556,0.44,0.52,-0.08,11,20,0.12,0.4,25,11,0.454545454545455,14,0.428571428571429,TRUE
1__NQ_ONLY__xgb_d3__0.5000,1,NQ_ONLY,xgb_d3,3,0.5,2235,0.509111617312073,0.513646532438479,0.496644295302014,0.0170022371364653,11,62,0.0263982102908277,0.114988814317673,2235,1540,0.512337662337662,695,0.516546762589928,TRUE
1__NQ_ONLY__xgb_d3__0.2000,1,NQ_ONLY,xgb_d3,3,0.2,923,0.210250569476082,0.52762730227519,0.486457204767064,0.0411700975081257,11,62,0.028169014084507,0.128927410617551,923,652,0.516871165644172,271,0.553505535055351,TRUE
1__NQ_ONLY__xgb_d3__0.1000,1,NQ_ONLY,xgb_d3,3,0.1,438,0.0997722095671982,0.511415525114155,0.465753424657534,0.045662100456621,11,60,0.0296803652968037,0.139269406392694,438,300,0.486666666666667,138,0.565217391304348,TRUE
1__NQ_ONLY__xgb_d3__0.0500,1,NQ_ONLY,xgb_d3,3,0.05,220,0.0501138952164009,0.509090909090909,0.45,0.0590909090909091,11,56,0.0454545454545455,0.181818181818182,220,143,0.475524475524476,77,0.571428571428571,TRUE
1__NQ_ONLY__xgb_d3__0.0200,1,NQ_ONLY,xgb_d3,3,0.02,87,0.0198177676537585,0.494252873563218,0.402298850574713,0.0919540229885057,11,38,0.0804597701149425,0.28735632183908,87,51,0.411764705882353,36,0.611111111111111,TRUE
1__NQ_ONLY__xgb_d3__0.0100,1,NQ_ONLY,xgb_d3,3,0.01,56,0.0127562642369021,0.517857142857143,0.410714285714286,0.107142857142857,11,30,0.0892857142857143,0.321428571428571,56,28,0.428571428571429,28,0.607142857142857,TRUE
1__NQ_ONLY__xgb_d3__0.0050,1,NQ_ONLY,xgb_d3,3,0.005,29,0.00660592255125285,0.517241379310345,0.379310344827586,0.137931034482759,10,20,0.103448275862069,0.413793103448276,29,9,0.333333333333333,20,0.6,TRUE
1__NQ_ONLY__xgb_d4__0.5000,1,NQ_ONLY,xgb_d4,4,0.5,2199,0.500911161731207,0.516143701682583,0.48931332423829,0.0268303774442929,11,62,0.0277398817644384,0.117326057298772,2199,1485,0.50976430976431,714,0.529411764705882,TRUE
1__NQ_ONLY__xgb_d4__0.2000,1,NQ_ONLY,xgb_d4,4,0.2,875,0.199316628701595,0.517714285714286,0.466285714285714,0.0514285714285714,11,62,0.0285714285714286,0.136,875,592,0.494932432432433,283,0.565371024734982,TRUE
1__NQ_ONLY__xgb_d4__0.1000,1,NQ_ONLY,xgb_d4,4,0.1,421,0.0958997722095672,0.520190023752969,0.470308788598575,0.0498812351543943,11,60,0.0356294536817102,0.152019002375297,421,287,0.498257839721254,134,0.567164179104478,TRUE
1__NQ_ONLY__xgb_d4__0.0500,1,NQ_ONLY,xgb_d4,4,0.05,196,0.0446469248291572,0.520408163265306,0.5,0.0204081632653061,11,53,0.0459183673469388,0.193877551020408,196,124,0.524193548387097,72,0.513888888888889,TRUE
1__NQ_ONLY__xgb_d4__0.0200,1,NQ_ONLY,xgb_d4,4,0.02,81,0.0184510250569476,0.45679012345679,0.432098765432099,0.0246913580246914,11,37,0.0740740740740741,0.296296296296296,81,53,0.415094339622642,28,0.535714285714286,TRUE
1__NQ_ONLY__xgb_d4__0.0100,1,NQ_ONLY,xgb_d4,4,0.01,45,0.010250569476082,0.444444444444444,0.422222222222222,0.0222222222222222,10,26,0.0666666666666667,0.311111111111111,45,24,0.375,21,0.523809523809524,TRUE
1__NQ_ONLY__xgb_d4__0.0050,1,NQ_ONLY,xgb_d4,4,0.005,27,0.0061503416856492,0.481481481481482,0.555555555555556,-0.0740740740740741,10,23,0.111111111111111,0.333333333333333,27,13,0.538461538461538,14,0.428571428571429,TRUE
1__NQ_ONLY__xgb_d5__0.5000,1,NQ_ONLY,xgb_d5,5,0.5,2136,0.486560364464692,0.506554307116105,0.487827715355805,0.0187265917602996,11,62,0.0280898876404494,0.11938202247191,2136,1424,0.502106741573034,712,0.515449438202247,TRUE
1__NQ_ONLY__xgb_d5__0.2000,1,NQ_ONLY,xgb_d5,5,0.2,860,0.195899772209567,0.523255813953488,0.48953488372093,0.0337209302325581,11,62,0.0267441860465116,0.130232558139535,860,585,0.514529914529915,275,0.541818181818182,TRUE
1__NQ_ONLY__xgb_d5__0.1000,1,NQ_ONLY,xgb_d5,5,0.1,428,0.09749430523918,0.495327102803738,0.453271028037383,0.0420560747663551,11,59,0.0327102803738318,0.149532710280374,428,286,0.468531468531469,142,0.549295774647887,TRUE
1__NQ_ONLY__xgb_d5__0.0500,1,NQ_ONLY,xgb_d5,5,0.05,214,0.04874715261959,0.481308411214953,0.420560747663551,0.0607476635514019,11,56,0.0467289719626168,0.205607476635514,214,141,0.439716312056738,73,0.561643835616438,TRUE
1__NQ_ONLY__xgb_d5__0.0200,1,NQ_ONLY,xgb_d5,5,0.02,65,0.0148063781321185,0.507692307692308,0.446153846153846,0.0615384615384615,10,31,0.107692307692308,0.292307692307692,65,31,0.451612903225806,34,0.558823529411765,TRUE
1__NQ_ONLY__xgb_d5__0.0100,1,NQ_ONLY,xgb_d5,5,0.01,35,0.00797266514806378,0.457142857142857,0.457142857142857,0,10,23,0.0857142857142857,0.342857142857143,35,15,0.4,20,0.5,TRUE
1__NQ_ONLY__xgb_d5__0.0050,1,NQ_ONLY,xgb_d5,5,0.005,18,0.0041002277904328,0.5,0.388888888888889,0.111111111111111,10,14,0.111111111111111,0.5,18,6,0.333333333333333,12,0.583333333333333,TRUE
1__NQ_ES__logit__0.5000,1,NQ_ES,logit,,0.5,2211,0.503644646924829,0.5119855269109,0.497964721845319,0.0140208050655812,11,62,0.0248756218905473,0.119402985074627,2211,1597,0.510958046336882,614,0.514657980456026,TRUE
1__NQ_ES__logit__0.2000,1,NQ_ES,logit,,0.2,893,0.203416856492027,0.501679731243001,0.48936170212766,0.0123180291153415,11,61,0.0391937290033595,0.156774916013438,893,687,0.496360989810771,206,0.519417475728155,TRUE
1__NQ_ES__logit__0.1000,1,NQ_ES,logit,,0.1,473,0.107744874715262,0.520084566596195,0.486257928118393,0.0338266384778013,11,60,0.0528541226215645,0.186046511627907,473,353,0.507082152974504,120,0.558333333333333,TRUE
1__NQ_ES__logit__0.0500,1,NQ_ES,logit,,0.05,205,0.0466970387243736,0.521951219512195,0.507317073170732,0.0146341463414634,11,52,0.0780487804878049,0.253658536585366,205,148,0.52027027027027,57,0.526315789473684,TRUE
1__NQ_ES__logit__0.0200,1,NQ_ES,logit,,0.02,54,0.0123006833712984,0.537037037037037,0.5,0.037037037037037,11,30,0.148148148148148,0.407407407407407,54,34,0.529411764705882,20,0.55,TRUE
1__NQ_ES__logit__0.0100,1,NQ_ES,logit,,0.01,18,0.0041002277904328,0.388888888888889,0.444444444444444,-0.0555555555555556,8,13,0.166666666666667,0.555555555555556,18,13,0.384615384615385,5,0.4,TRUE
1__NQ_ES__logit__0.0050,1,NQ_ES,logit,,0.005,8,0.00182232346241458,0.625,0.75,-0.125,5,6,0.25,0.875,8,5,0.8,3,0.333333333333333,TRUE
1__NQ_ES__ranger__0.5000,1,NQ_ES,ranger,,0.5,2240,0.510250569476082,0.504017857142857,0.485267857142857,0.01875,11,62,0.0241071428571429,0.116517857142857,2240,1586,0.496847414880202,654,0.521406727828746,TRUE
1__NQ_ES__ranger__0.2000,1,NQ_ES,ranger,,0.2,931,0.212072892938497,0.506981740064447,0.489795918367347,0.0171858216970999,11,62,0.0311493018259936,0.146079484425349,931,672,0.502976190476191,259,0.517374517374517,TRUE
