candidate_id,horizon,feature_set,model_id,xgb_depth,target_coverage,selected_n,wins,overall_wr,base_wins,overall_baseline_wr,overall_edge,total_nonoverlap_n,nonoverlap_fraction,avg_active_weeks_full,min_active_weeks_full,folds_over_50,full_years_over_50,min_full_year_wr,max_full_year_wr,max_top_day_share_all,max_top5_day_share_all,max_top5_day_share_full,long_n,long_wins,long_wr,short_n,short_wins,short_wr,mean_actual_coverage,temporal_ok,persistence_ok,wr_block_lower,wr_block_upper,edge_block_lower,edge_block_upper,statistically_robust,v5_rank,model_display,feature_display,strategy,n_2026,coverage,wr_2026,baseline_2026,edge_2026,weeks_2026,days_2026,top_day_share,top5_share_2026,nonoverlap_n,long_n_2026,long_wr_2026,short_n_2026,short_wr_2026,viewed_in_v5
7__NQ_ES__xgb_d2__0.0100,7,NQ_ES,xgb_d2,2,0.01,701,410,0.584878744650499,369,0.526390870185449,0.0584878744650499,701,1,51,49,3,3,0.537735849056604,0.635071090047393,0.0952380952380952,0.333333333333333,0.0990566037735849,479,280,0.58455114822547,222,130,0.585585585585586,0.0100386899629017,TRUE,TRUE,0.550066978281936,0.62103941616915,0.0148610446247847,0.100452359936821,TRUE,1,XGB d2,NQ + ES,7m | XGB d2 | NQ + ES | 1.0%,42,0.00957155879671832,0.5,0.452380952380952,0.0476190476190476,10,30,0.0952380952380952,0.333333333333333,42,40,0.475,2,1,TRUE
7__NQ_ES__xgb_d2__0.0500,7,NQ_ES,xgb_d2,2,0.05,3647,2058,0.564299424184261,1904,0.522072936660269,0.0422264875239923,3647,1,52.6666666666667,52,4,3,0.565094339622642,0.569787985865724,0.0495495495495496,0.193693693693694,0.0512367491166078,2760,1546,0.560144927536232,887,512,0.577226606538895,0.0523847885522851,TRUE,TRUE,0.54806357010971,0.580383266049664,0.0271686205839234,0.059333758175653,TRUE,2,XGB d2,NQ + ES,7m | XGB d2 | NQ + ES | 5.0%,222,0.0505925250683683,0.513513513513514,0.504504504504505,0.00900900900900901,11,58,0.0495495495495496,0.193693693693694,222,200,0.51,22,0.545454545454545,TRUE
7__NQ_ONLY__xgb_d2__0.0500,7,NQ_ONLY,xgb_d2,2,0.05,3818,2125,0.556574122577266,1982,0.519119958093243,0.037454164484023,3818,1,52.6666666666667,52,4,3,0.558310376492195,0.561231630510847,0.0480769230769231,0.192307692307692,0.0485347985347985,2861,1582,0.552953512757777,957,543,0.567398119122257,0.0537592572008643,TRUE,TRUE,0.543288375791103,0.573264030655747,0.0209868051537237,0.0529280440744772,TRUE,3,XGB d2,NQ only,7m | XGB d2 | NQ only | 5.0%,208,0.0474020054694622,0.504807692307692,0.528846153846154,-0.0240384615384615,11,60,0.0480769230769231,0.192307692307692,208,185,0.518918918918919,23,0.391304347826087,TRUE
10__NQ_ES__xgb_d4__0.0050,10,NQ_ES,xgb_d4,4,0.005,326,193,0.592024539877301,158,0.484662576687117,0.107361963190184,326,1,40,35,4,3,0.548387096774194,0.595238095238095,0.294117647058824,0.529411764705882,0.209677419354839,187,106,0.566844919786096,139,87,0.62589928057554,0.00454997462772452,TRUE,TRUE,0.541656353135314,0.645208728652751,0.0358155808494619,0.176829758450318,TRUE,4,XGB d4,NQ + ES,10m | XGB d4 | NQ + ES | 0.5%,17,0.00387420237010027,0.764705882352941,0.823529411764706,-0.0588235294117647,9,13,0.294117647058824,0.529411764705882,17,14,0.857142857142857,3,0.333333333333333,TRUE
7__NQ_ONLY__ranger__0.0200,7,NQ_ONLY,ranger,,0.02,1593,901,0.565599497802888,833,0.522912743251726,0.0426867545511613,1593,1,52.6666666666667,52,4,3,0.549473684210526,0.593333333333333,0.0649350649350649,0.246753246753247,0.0610526315789474,1196,671,0.561036789297659,397,230,0.579345088161209,0.0219826218127429,TRUE,TRUE,0.541369761862631,0.589598674588833,0.0165622205634219,0.0676043888457996,TRUE,5,Ranger,NQ only,7m | Ranger | NQ only | 2.0%,77,0.0175478577939836,0.571428571428571,0.51948051948052,0.051948051948052,11,46,0.0649350649350649,0.246753246753247,77,65,0.553846153846154,12,0.666666666666667,TRUE
7__NQ_ONLY__xgb_d3__0.1000,7,NQ_ONLY,xgb_d3,3,0.1,7127,3941,0.552967588045461,3641,0.510874140592114,0.0420934474533464,7127,1,52.6666666666667,52,3,3,0.543538038496792,0.56488181379643,0.0363636363636364,0.170454545454545,0.0411184210526316,5000,2742,0.5484,2127,1199,0.563704748472026,0.102657267569915,TRUE,TRUE,0.540940120830063,0.564229249011858,0.0286424517880195,0.0544225232595202,TRUE,6,XGB d3,NQ only,7m | XGB d3 | NQ only | 10.0%,440,0.100273473108478,0.5,0.520454545454546,-0.0204545454545455,11,62,0.0363636363636364,0.170454545454545,440,337,0.513353115727003,103,0.456310679611651,TRUE
7__NQ_ONLY__ranger__0.0500,7,NQ_ONLY,ranger,,0.05,3904,2182,0.55891393442623,2050,0.525102459016393,0.0338114754098361,3904,1,52.6666666666667,52,4,3,0.554498269896194,0.57716894977169,0.0495049504950495,0.198019801980198,0.0493079584775087,2990,1666,0.557190635451505,914,516,0.564551422319475,0.0544775312461611,TRUE,TRUE,0.540717291400825,0.574234176852989,0.0175970589256873,0.049503269996984,TRUE,7,Ranger,NQ only,7m | Ranger | NQ only | 5.0%,202,0.0460346399270738,0.50990099009901,0.51980198019802,-0.0099009900990099,11,58,0.0495049504950495,0.198019801980198,202,166,0.518072289156627,36,0.472222222222222,TRUE
7__NQ_ONLY__logit__0.0200,7,NQ_ONLY,logit,,0.02,1287,727,0.564879564879565,689,0.535353535353535,0.0295260295260295,1287,1,52.3333333333333,51,3,3,0.550403225806452,0.58876404494382,0.0909090909090909,0.363636363636364,0.125842696629213,856,495,0.578271028037383,431,232,0.538283062645012,0.0174133171219044,TRUE,TRUE,0.540473418484913,0.591751005388253,0.00216648841354724,0.0614515054927055,TRUE,8,Logit,NQ only,7m | Logit | NQ only | 2.0%,55,0.0125341841385597,0.490909090909091,0.545454545454545,-0.0545454545454545,11,30,0.0909090909090909,0.363636363636364,55,52,0.519230769230769,3,0,TRUE
7__NQ_ONLY__xgb_d4__0.1000,7,NQ_ONLY,xgb_d4,4,0.1,7016,3864,0.550741163055872,3529,0.502993158494869,0.0477480045610034,7016,1,52.6666666666667,52,4,3,0.536091549295775,0.56281179138322,0.0368550368550369,0.164619164619165,0.0413732394366197,4813,2609,0.542073550799917,2203,1255,0.569677712210622,0.0998406757113965,TRUE,TRUE,0.539913241194528,0.562206854074441,0.0355667802766789,0.0593799207610721,TRUE,9,XGB d4,NQ only,7m | XGB d4 | NQ only | 10.0%,407,0.0927529626253418,0.533169533169533,0.542997542997543,-0.00982800982800983,11,62,0.0368550368550369,0.164619164619165,407,295,0.552542372881356,112,0.482142857142857,TRUE
5__NQ_ONLY__logit__0.0500,5,NQ_ONLY,logit,,0.05,3212,1793,0.558219178082192,1677,0.522104607721046,0.0361145703611457,3212,1,52.6666666666667,52,4,3,0.541176470588235,0.570017953321364,0.0406091370558376,0.187817258883249,0.069683257918552,2171,1220,0.561953017042837,1041,573,0.550432276657061,0.0461488143088322,TRUE,TRUE,0.539893770874608,0.57723680849511,0.0150848815382967,0.056183091979712,TRUE,10,Logit,NQ only,5m | Logit | NQ only | 5.0%,197,0.0448849396217817,0.568527918781726,0.598984771573604,-0.0304568527918782,11,49,0.0406091370558376,0.187817258883249,197,175,0.594285714285714,22,0.363636363636364,TRUE
7__NQ_ES__xgb_d3__0.1000,7,NQ_ES,xgb_d3,3,0.1,7264,3997,0.550247797356828,3750,0.516244493392071,0.0340033039647577,7264,1,52.6666666666667,52,4,3,0.542538354253836,0.563118811881188,0.0414847161572052,0.189956331877729,0.0398924249215598,5107,2812,0.550616800469943,2157,1185,0.549374130737135,0.105059410428701,TRUE,TRUE,0.539236820346766,0.56217557055698,0.02287166121146,0.0462429991801693,TRUE,11,XGB d3,NQ + ES,7m | XGB d3 | NQ + ES | 10.0%,458,0.104375569735643,0.526200873362445,0.528384279475983,-0.00218340611353712,11,62,0.0414847161572052,0.189956331877729,458,353,0.535410764872521,105,0.495238095238095,TRUE
