date,event,sourceA,timeA,sourceB,timeB,diff_min
2018-02-15,Initial Jobless Claims,InvestingA(2011-18),2018-02-15 09:30:00-05:00,InvestingB(scraper),2018-02-15 08:30:00-05:00,60.0
2018-02-15,NY Empire State Manufacturing Index,InvestingA(2011-18),2018-02-15 09:30:00-05:00,InvestingB(scraper),2018-02-15 08:30:00-05:00,60.0
2018-02-15,Philadelphia Fed Manufacturing Index,InvestingA(2011-18),2018-02-15 09:30:00-05:00,InvestingB(scraper),2018-02-15 08:30:00-05:00,60.0
2018-02-16,Housing Starts,InvestingA(2011-18),2018-02-16 09:30:00-05:00,InvestingB(scraper),2018-02-16 08:30:00-05:00,60.0
2018-02-16,Michigan 5-Year Inflation Expectations,InvestingA(2011-18),2018-02-16 11:00:00-05:00,InvestingB(scraper),2018-02-16 10:00:00-05:00,60.0
2018-02-16,Michigan Consumer Sentiment,InvestingA(2011-18),2018-02-16 11:00:00-05:00,InvestingB(scraper),2018-02-16 10:00:00-05:00,60.0
2018-02-21,FOMC Meeting Minutes,InvestingA(2011-18),2018-02-21 15:00:00-05:00,InvestingB(scraper),2018-02-21 14:00:00-05:00,60.0
2018-02-22,Initial Jobless Claims,InvestingA(2011-18),2018-02-22 09:30:00-05:00,InvestingB(scraper),2018-02-22 08:30:00-05:00,60.0
2018-02-23,FOMC Member Williams Speaks,InvestingA(2011-18),2018-02-23 16:40:00-05:00,InvestingB(scraper),2018-02-23 15:40:00-05:00,60.0
2018-02-26,FOMC Member Bullard Speaks,InvestingA(2011-18),2018-02-26 09:00:00-05:00,InvestingB(scraper),2018-02-26 08:00:00-05:00,60.0
2018-02-26,New Home Sales,InvestingA(2011-18),2018-02-26 11:00:00-05:00,InvestingB(scraper),2018-02-26 10:00:00-05:00,60.0
2018-02-27,Fed Chair Powell Testifies,InvestingA(2011-18),2018-02-27 09:30:00-05:00,InvestingB(scraper),2018-02-27 08:30:00-05:00,60.0
2018-02-27,CB Consumer Confidence,InvestingA(2011-18),2018-02-27 11:00:00-05:00,InvestingB(scraper),2018-02-27 10:00:00-05:00,60.0
2018-03-01,Initial Jobless Claims,InvestingA(2011-18),2018-03-01 09:30:00-05:00,InvestingB(scraper),2018-03-01 08:30:00-05:00,60.0
2018-03-01,Fed Chair Powell Testifies,InvestingA(2011-18),2018-03-01 11:00:00-05:00,InvestingB(scraper),2018-03-01 10:00:00-05:00,60.0
2018-03-01,ISM Manufacturing PMI,InvestingA(2011-18),2018-03-01 11:00:00-05:00,InvestingB(scraper),2018-03-01 10:00:00-05:00,60.0
2018-03-02,Michigan 5-Year Inflation Expectations,InvestingA(2011-18),2018-03-02 11:00:00-05:00,InvestingB(scraper),2018-03-02 10:00:00-05:00,60.0
2018-03-02,Michigan Consumer Sentiment,InvestingA(2011-18),2018-03-02 11:00:00-05:00,InvestingB(scraper),2018-03-02 10:00:00-05:00,60.0
2018-03-05,ISM Non-Manufacturing PMI,InvestingA(2011-18),2018-03-05 11:00:00-05:00,InvestingB(scraper),2018-03-05 10:00:00-05:00,60.0
2018-03-07,ADP Nonfarm Employment Change,InvestingA(2011-18),2018-03-07 09:15:00-05:00,InvestingB(scraper),2018-03-07 08:15:00-05:00,60.0
