date,ff_event,ff_et,inv_et,status,sourceOccurrenceId,candidateCategoryIds
2024-08-13,PPI m/m,,2024-08-13 08:30:00-04:00,SINGLE_SOURCE_INVESTING,2024-08-13|PPI (MoM),PPI m/m
2024-05-28,CB Consumer Confidence,2024-05-28 10:00:00-04:00,2024-05-28 10:00:00-04:00,CROSS_VERIFIED,2024-05-28|CB Consumer Confidence,CB Consumer Confidence
2015-08-19,CPI m/m,,2015-08-19 08:30:00-04:00,SINGLE_SOURCE_INVESTING,2015-08-19|CPI (MoM),CPI m/m
2018-03-14,Core Retail Sales m/m,2018-03-14 08:30:00-04:00,2018-03-14 08:30:00-04:00,CROSS_VERIFIED,2018-03-14|Core Retail Sales (MoM),Core Retail Sales m/m
2014-02-12,FOMC Member Bullard Speaks,,2014-02-12 08:45:00-05:00,SINGLE_SOURCE_INVESTING,2014-02-12|FOMC Member Bullard Speaks,FOMC Member Bullard Speaks
2017-11-22,FOMC Meeting Minutes,2017-11-22 14:00:00-05:00,2017-11-22 14:00:00-05:00,CROSS_VERIFIED,2017-11-22|FOMC Meeting Minutes,FOMC Meeting Minutes
2016-12-15,CPI m/m,,2016-12-15 08:30:00-05:00,SINGLE_SOURCE_INVESTING,2016-12-15|CPI (MoM),CPI m/m
2021-05-28,Prelim UoM Inflation Expectations,,,AMBIGUOUS,2021-05-28|Michigan 1-Year Inflation Expectations,Prelim UoM Inflation Expectations
2011-09-20,Housing Starts,,2011-09-20 08:30:00-04:00,SINGLE_SOURCE_INVESTING,2011-09-20|Housing Starts,Housing Starts
2020-10-05,ISM Services PMI,2020-10-05 10:00:00-04:00,2020-10-05 10:00:00-04:00,CROSS_VERIFIED,2020-10-05|ISM Non-Manufacturing PMI,ISM Services PMI
2020-12-22,Advance GDP q/q,,2020-12-22 08:30:00-05:00,SINGLE_SOURCE_INVESTING,2020-12-22|GDP (QoQ),Advance GDP q/q|Final GDP q/q|Prelim GDP q/q
2020-12-22,Final GDP q/q,,2020-12-22 08:30:00-05:00,SINGLE_SOURCE_INVESTING,2020-12-22|GDP (QoQ),Advance GDP q/q|Final GDP q/q|Prelim GDP q/q
2020-12-22,Prelim GDP q/q,,2020-12-22 08:30:00-05:00,SINGLE_SOURCE_INVESTING,2020-12-22|GDP (QoQ),Advance GDP q/q|Final GDP q/q|Prelim GDP q/q
2017-04-05,ISM Services PMI,2017-04-05 10:00:00-04:00,2017-04-05 10:00:00-04:00,CROSS_VERIFIED,2017-04-05|ISM Non-Manufacturing PMI,ISM Services PMI
2016-02-18,Unemployment Claims,,2016-02-18 08:30:00-05:00,SINGLE_SOURCE_INVESTING,2016-02-18|Initial Jobless Claims,Unemployment Claims
2018-10-26,Prelim UoM Inflation Expectations,,,AMBIGUOUS,2018-10-26|Michigan 5-Year Inflation Expectations,Prelim UoM Inflation Expectations
2025-02-07,Average Hourly Earnings m/m,,2025-02-07 08:30:00-05:00,SINGLE_SOURCE_INVESTING,2025-02-07|Average Hourly Earnings (MoM),Average Hourly Earnings m/m
2011-07-01,Prelim UoM Inflation Expectations,,,AMBIGUOUS,2011-07-01|Michigan 5-Year Inflation Expectations,Prelim UoM Inflation Expectations
2024-03-07,Fed Chair Powell Testifies,2024-03-07 10:00:00-05:00,2024-03-07 10:00:00-05:00,CROSS_VERIFIED,2024-03-07|Fed Chair Powell Testifies,Fed Chair Powell Testifies
2014-01-17,Prelim UoM Consumer Sentiment,2014-01-17 09:55:00-05:00,2014-01-17 09:55:00-05:00,CROSS_VERIFIED,2014-01-17|Michigan Consumer Sentiment,Prelim UoM Consumer Sentiment|Revised UoM Consumer Sentiment
2014-01-17,Revised UoM Consumer Sentiment,,2014-01-17 09:55:00-05:00,SINGLE_SOURCE_INVESTING,2014-01-17|Michigan Consumer Sentiment,Prelim UoM Consumer Sentiment|Revised UoM Consumer Sentiment
2015-02-13,Prelim UoM Inflation Expectations,,,AMBIGUOUS,2015-02-13|Michigan 5-Year Inflation Expectations,Prelim UoM Inflation Expectations
2025-03-20,Unemployment Claims,,2025-03-20 08:30:00-04:00,SINGLE_SOURCE_INVESTING,2025-03-20|Initial Jobless Claims,Unemployment Claims
2021-07-28,FOMC Press Conference,2021-07-28 14:30:00-04:00,2021-07-28 14:30:00-04:00,CROSS_VERIFIED,2021-07-28|FOMC Press Conference,FOMC Press Conference
2011-09-02,Non-Farm Employment Change,2011-09-02 08:30:00-04:00,2011-09-02 08:30:00-04:00,CROSS_VERIFIED,2011-09-02|Nonfarm Payrolls,Non-Farm Employment Change
2012-08-15,Empire State Manufacturing Index,,2012-08-15 08:30:00-04:00,SINGLE_SOURCE_INVESTING,2012-08-15|NY Empire State Manufacturing Index,Empire State Manufacturing Index
2013-04-01,Housing Starts,,2013-04-01 05:00:00-04:00,SINGLE_SOURCE_INVESTING,2013-04-01|Housing Starts,Housing Starts
2023-07-20,Philly Fed Manufacturing Index,,2023-07-20 08:30:00-04:00,SINGLE_SOURCE_INVESTING,2023-07-20|Philadelphia Fed Manufacturing Index,Philly Fed Manufacturing Index
2024-03-28,Pending Home Sales m/m,2024-03-28 10:00:00-04:00,2024-03-28 10:00:00-04:00,CROSS_VERIFIED,2024-03-28|Pending Home Sales (MoM),Pending Home Sales m/m
2019-11-05,ISM Services PMI,2019-11-05 10:00:00-05:00,2019-11-05 10:00:00-05:00,CROSS_VERIFIED,2019-11-05|ISM Non-Manufacturing PMI,ISM Services PMI
2023-09-21,Unemployment Claims,,2023-09-21 08:30:00-04:00,SINGLE_SOURCE_INVESTING,2023-09-21|Initial Jobless Claims,Unemployment Claims
2019-10-29,S&P/CS Composite-20 HPI y/y,,2019-10-29 09:00:00-04:00,SINGLE_SOURCE_INVESTING,2019-10-29|S&P/CS HPI Composite - 20 n.s.a. (YoY),S&P/CS Composite-20 HPI y/y
2015-12-04,Non-Farm Employment Change,,2015-12-04 08:30:00-05:00,SINGLE_SOURCE_INVESTING,2015-12-04|Nonfarm Payrolls,Non-Farm Employment Change
2023-11-10,Prelim UoM Consumer Sentiment,2023-11-10 10:00:00-05:00,2023-11-10 10:00:00-05:00,CROSS_VERIFIED,2023-11-10|Michigan Consumer Sentiment,Prelim UoM Consumer Sentiment|Revised UoM Consumer Sentiment
2023-11-10,Revised UoM Consumer Sentiment,,2023-11-10 10:00:00-05:00,SINGLE_SOURCE_INVESTING,2023-11-10|Michigan Consumer Sentiment,Prelim UoM Consumer Sentiment|Revised UoM Consumer Sentiment
2019-04-01,ISM Manufacturing PMI,2019-04-01 10:00:00-04:00,,INVESTING_INTERNAL_CONFLICT,2019-04-01|ISM Manufacturing PMI,ISM Manufacturing PMI
2017-08-15,Empire State Manufacturing Index,,2017-08-15 08:30:00-04:00,SINGLE_SOURCE_INVESTING,2017-08-15|NY Empire State Manufacturing Index,Empire State Manufacturing Index
2023-05-26,Prelim UoM Inflation Expectations,,,AMBIGUOUS,2023-05-26|Michigan 1-Year Inflation Expectations,Prelim UoM Inflation Expectations
2015-11-25,Prelim UoM Consumer Sentiment,,2015-11-25 10:00:00-05:00,SINGLE_SOURCE_INVESTING,2015-11-25|Michigan Consumer Sentiment,Prelim UoM Consumer Sentiment|Revised UoM Consumer Sentiment
2015-11-25,Revised UoM Consumer Sentiment,,2015-11-25 10:00:00-05:00,SINGLE_SOURCE_INVESTING,2015-11-25|Michigan Consumer Sentiment,Prelim UoM Consumer Sentiment|Revised UoM Consumer Sentiment
2021-09-30,Advance GDP q/q,,2021-09-30 08:30:00-04:00,SINGLE_SOURCE_INVESTING,2021-09-30|GDP (QoQ),Advance GDP q/q|Final GDP q/q|Prelim GDP q/q
2021-09-30,Final GDP q/q,,2021-09-30 08:30:00-04:00,SINGLE_SOURCE_INVESTING,2021-09-30|GDP (QoQ),Advance GDP q/q|Final GDP q/q|Prelim GDP q/q
2021-09-30,Prelim GDP q/q,,2021-09-30 08:30:00-04:00,SINGLE_SOURCE_INVESTING,2021-09-30|GDP (QoQ),Advance GDP q/q|Final GDP q/q|Prelim GDP q/q
2016-02-18,FOMC Member Williams Speaks,,2016-02-18 15:30:00-05:00,SINGLE_SOURCE_INVESTING,2016-02-18|FOMC Member Williams Speaks,FOMC Member Williams Speaks
2016-11-02,Federal Funds Rate,2016-11-02 14:00:00-04:00,2016-11-02 14:00:00-04:00,CROSS_VERIFIED,2016-11-02|Fed Interest Rate Decision,Federal Funds Rate
2023-04-03,ISM Manufacturing PMI,2023-04-03 10:00:00-04:00,2023-04-03 10:00:00-04:00,CROSS_VERIFIED,2023-04-03|ISM Manufacturing PMI,ISM Manufacturing PMI
