year,horizon_min,model,tau,n,wins,base_wins_selected,coverage,win_rate,selected_baseline_win_rate,full_n,full_model_wins,full_base_wins,full_model_win_rate,full_baseline_win_rate,selection_gain_vs_full_baseline,selected_directional_edge,n_long,long_wins,long_win_rate,n_short,short_wins,short_win_rate,mean_p_up,mean_confidence
2017,1,Calendar-only,0,7576,3861,3859,1,0.509635691657867,0.509371700105597,7576,3861,3859,0.509635691657867,0.509371700105597,0.000263991552270304,0.000263991552270304,4320,2232,0.516666666666667,3256,1629,0.500307125307125,0.503606889491107,0.0186199978819803
2017,1,Calendar-only,0.025,2155,1116,1125,0.284450897571278,0.517865429234339,0.522041763341067,7576,3861,3859,0.509635691657867,0.509371700105597,0.00849372912874213,-0.00417633410672857,1286,686,0.53343701399689,869,430,0.49482163406214,0.510450212972838,0.0391041269757395
2017,1,Calendar-only,0.05,375,230,216,0.0494984160506864,0.613333333333333,0.576,7576,3861,3859,0.509635691657867,0.509371700105597,0.103961633227737,0.0373333333333333,285,178,0.624561403508772,90,52,0.577777777777778,0.536364623511958,0.0643064619015337
2017,1,Calendar-only,0.075,89,66,66,0.0117476240760296,0.741573033707865,0.741573033707865,7576,3861,3859,0.509635691657867,0.509371700105597,0.232201333602269,0,89,66,0.741573033707865,0,0,,0.58106497336647,0.0810649733664697
2017,1,Market-state,0,7576,3995,3859,1,0.527323125659979,0.509371700105597,7576,3995,3859,0.527323125659979,0.509371700105597,0.0179514255543822,0.0179514255543822,4918,2598,0.528263521756812,2658,1397,0.525583145221971,0.506232033856586,0.013615123649512
2017,1,Market-state,0.025,1050,571,586,0.138595564941922,0.543809523809524,0.558095238095238,7576,3995,3859,0.527323125659979,0.509371700105597,0.0344378237039272,-0.0142857142857142,829,468,0.56453558504222,221,103,0.46606334841629,0.524932433781524,0.0412336614555744
2017,1,Market-state,0.05,219,125,127,0.0289070749736008,0.570776255707763,0.579908675799087,7576,3995,3859,0.527323125659979,0.509371700105597,0.061404555602166,-0.0091324200913242,185,109,0.589189189189189,34,16,0.470588235294118,0.548235470549692,0.0694244346037344
2017,1,Market-state,0.075,63,34,33,0.00831573389651531,0.53968253968254,0.523809523809524,7576,3995,3859,0.527323125659979,0.509371700105597,0.030310839576943,0.0158730158730158,52,28,0.538461538461538,11,6,0.545454545454545,0.562675773265918,0.0933379623843238
2017,1,Market-state,0.1,11,4,5,0.0014519535374868,0.363636363636364,0.454545454545455,7576,3995,3859,0.527323125659979,0.509371700105597,-0.145735336469233,-0.0909090909090909,10,4,0.4,1,0,0,0.608186500239675,0.127876226047564
2017,1,Market-state,0.15,1,0,0,0.000131995776135164,0,0,7576,3995,3859,0.527323125659979,0.509371700105597,-0.509371700105597,0,1,0,0,0,0,,0.653496381399637,0.153496381399637
